,,Donald J. Trump and JD Vance,Kamala D. Harris and Tim Walz,Chase Oliver and Mike ter Maat,Jill Stein and Rudolph Butch Ware,Cornel West and Melina Abdulla,Randall A. Terry and Stephen E. Broden,Claudia De La Cruz and Karina Garcia,Total Votes Cast,Overvotes/Undervotes,Total Ballots Cast
,,Republican,Democratic,Libertarian,Green,United Citizens,Constitution,Workers,,,
Precinct,Failsafe,7,2,0,0,0,0,0,9,0,9
Precinct,Failsafe Provisional,26,21,0,0,0,0,0,47,0,47
Precinct,Foster Creek 01,450,293,5,6,2,1,1,758,10,768
Precinct,Foster Creek 02,1034,690,18,3,2,8,1,1756,4,1760
Precinct,Foster Creek 03,748,540,7,7,4,5,1,1312,11,1323
Precinct,Fox Bank,1412,1000,22,13,12,6,1,2466,12,2478
Precinct,Hanahan 01,1089,492,10,6,1,4,7,1609,17,1626
Precinct,Hanahan 02,466,269,6,1,2,1,2,747,5,752
Precinct,Hanahan 03,573,257,9,5,3,4,2,853,6,859
Precinct,Hanahan 04,321,238,5,2,4,1,0,571,6,577
Precinct,Hanahan 05,692,292,6,5,2,1,2,1000,10,1010
Precinct,Harbour Lake,275,481,2,1,3,1,3,766,2,768
Precinct,Hilton Cross Road,540,574,4,3,4,4,3,1132,13,1145
Precinct,Horseshoe,483,329,2,2,6,0,0,822,3,825
Precinct,Howe Hall 01,584,745,8,1,8,2,3,1351,10,1361
Precinct,Howe Hall 02,326,303,6,2,6,1,3,647,5,652
Precinct,Huger,818,627,1,3,7,1,3,1460,15,1475
Precinct,Jamestown,184,198,0,0,1,3,0,386,4,390
Precinct,Lebanon,592,140,5,2,1,0,1,741,8,749
Precinct,Liberty Hall,721,852,12,7,4,3,2,1601,6,1607
Precinct,Live Oak,870,156,7,3,2,1,0,1039,5,1044
Precinct,Macedonia,1024,108,3,2,3,3,0,1143,2,1145
Precinct,Macedonia 02,134,5,0,0,0,0,0,139,1,140
Precinct,Mcbeth,459,230,2,1,2,1,0,695,5,700
Precinct,Medway,860,1104,6,7,6,4,5,1992,6,1998
Precinct,Moncks Corner 01,776,457,12,5,1,3,0,1254,8,1262
Precinct,Moncks Corner 02,563,519,3,1,6,2,1,1095,4,1099
Precinct,Moncks Corner 03,605,757,9,2,5,0,1,1379,8,1387
Precinct,Moncks Corner 04,920,316,8,3,0,2,2,1251,11,1262
Precinct,Moultrie,228,678,0,2,7,2,1,918,8,926
Precinct,Nexton,1515,998,17,10,0,4,2,2546,10,2556
Precinct,North Creek,1228,877,14,2,2,3,1,2127,11,2138
Precinct,Old 52,493,296,3,1,3,0,1,797,3,800
Precinct,Pimlico,989,375,5,2,4,4,0,1379,5,1384
Precinct,Pinopolis,1178,265,7,4,2,1,2,1459,7,1466
Precinct,Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Royle,451,298,6,0,5,2,1,763,5,768
Precinct,Russellville,185,688,2,1,7,1,2,886,13,899
Precinct,Sangaree 01,380,270,5,1,2,1,0,659,5,664
Precinct,Sangaree 02,563,377,6,3,2,2,3,956,3,959
Precinct,Sangaree 03,437,352,7,3,1,3,3,806,4,810
Precinct,Sedgefield 01,404,516,4,6,2,0,4,936,9,945
Precinct,Sedgefield 02,194,188,3,2,2,1,2,392,1,393
Precinct,Sedgefield 03,205,157,3,1,1,0,1,368,3,371
Precinct,Shulerville,185,111,0,0,1,0,4,301,4,305
Precinct,St. James,507,408,5,5,4,1,2,932,4,936
Precinct,St. Stephen 01,196,699,4,4,6,4,3,916,8,924
Precinct,St. Stephen 02,507,452,4,4,5,2,2,976,7,983
Precinct,Stone Lake,628,380,5,3,2,3,0,1021,9,1030
Precinct,Stratford 01,418,368,2,2,3,1,3,797,6,803
Precinct,Stratford 02,928,458,5,5,4,4,1,1405,15,1420
Precinct,Stratford 03,813,619,4,3,2,2,1,1444,4,1448
Precinct,Stratford 04,660,491,5,3,5,4,4,1172,9,1181
Precinct,Stratford 05,386,445,2,3,1,3,1,841,4,845
Precinct,The Village,1458,779,20,5,6,2,3,2273,17,2290
Precinct,Tramway,546,332,6,3,5,2,2,896,3,899
Precinct,Wassamassaw 01,412,399,2,2,5,1,2,823,6,829
Precinct,Wassamassaw 02,1249,832,5,4,11,4,3,2108,7,2115
Precinct,Weatherstone,713,521,9,6,4,2,2,1257,3,1260
Precinct,Westview 01,713,339,8,4,2,5,1,1072,12,1084
Precinct,Westview 02,731,433,11,6,1,0,3,1185,7,1192
Precinct,Westview 03,697,351,10,4,2,2,1,1067,4,1071
Precinct,Westview 04,670,375,9,1,3,3,1,1062,6,1068
Precinct,Whitesville 01,625,727,4,3,5,2,0,1366,7,1373
Precinct,Whitesville 02,310,354,2,3,3,2,1,675,2,677
Precinct,Wildcat Trail,1301,866,10,2,4,2,4,2189,7,2196
Precinct,Yeaman's Club,80,37,0,2,1,0,0,120,1,121
Precinct,Yellow House,1814,1189,14,15,8,3,1,3044,10,3054
County,Calhoun,4474,3339,29,21,25,18,8,7914,80,7994
Precinct,Bethel,489,194,1,0,3,1,1,689,4,693
Precinct,Cameron,275,245,4,2,2,2,0,530,8,538
Precinct,Center Hill,425,384,3,3,5,0,0,820,5,825
Precinct,Creston,77,55,0,3,0,0,0,135,4,139
Precinct,Dixie,394,957,1,3,10,3,2,1370,13,1383
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,7,3,0,0,0,0,0,10,0,10
Precinct,Fall Branch,216,131,1,2,0,2,1,353,2,355
Precinct,Fort Motte,121,80,0,0,0,0,0,201,0,201
Precinct,Lone Star,478,298,5,2,0,4,2,789,8,797
Precinct,Midway,193,39,0,0,0,1,0,233,5,238
Precinct,Murph Hill,136,167,3,4,2,1,0,313,6,319
Precinct,Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Sandy Run,1001,345,7,1,2,2,1,1359,9,1368
Precinct,St. Matthews,662,441,4,1,1,2,1,1112,16,1128
County,Charleston,99265,111427,1665,973,501,380,310,214521,1938,216459
Precinct,Awendaw,621,550,0,1,3,1,1,1177,13,1190
Precinct,Charleston 01,340,247,4,3,1,0,0,595,12,607
Precinct,Charleston 02,380,297,7,2,0,1,0,687,16,703
Precinct,Charleston 03,303,406,9,2,2,3,0,725,11,736
Precinct,Charleston 04,310,357,6,2,1,0,0,676,11,687
Precinct,Charleston 05,257,317,3,4,0,1,0,582,3,585
Precinct,Charleston 06,274,434,4,2,3,0,0,717,9,726
Precinct,Charleston 07,298,458,3,3,0,3,0,765,11,776
Precinct,Charleston 08,163,476,6,7,5,1,3,661,3,664
Precinct,Charleston 09,142,285,4,3,1,1,1,437,2,439
Precinct,Charleston 10,65,176,0,3,0,0,0,244,1,245
Precinct,Charleston 11,256,452,6,4,2,2,5,727,11,738
Precinct,Charleston 12,281,675,10,5,5,1,1,978,9,987
Precinct,Charleston 13,156,536,6,4,2,0,2,706,5,711
Precinct,Charleston 14,190,386,2,5,3,0,3,589,4,593
Precinct,Charleston 15,403,741,5,4,9,0,1,1163,8,1171
Precinct,Charleston 16,145,556,6,3,3,0,3,716,10,726
Precinct,Charleston 17,133,599,16,5,1,2,2,758,11,769
Precinct,Charleston 18,211,685,16,6,8,2,1,929,7,936
Precinct,Charleston 19,91,417,5,2,1,1,1,518,5,523
Precinct,Charleston 20,232,702,11,2,4,3,2,956,7,963
Precinct,Charleston 21,60,360,1,1,1,1,0,424,7,431
Precinct,Christ Church,466,353,1,1,1,3,0,825,6,831
Precinct,Deer Park 01a,270,487,3,3,11,1,0,775,4,779
Precinct,Deer Park 01b,838,1130,16,7,12,4,4,2011,9,2020
Precinct,Deer Park 02a,723,878,7,4,5,3,3,1623,5,1628
Precinct,Deer Park 02b,381,667,1,6,4,1,1,1061,5,1066
Precinct,Deer Park 02c,313,369,3,1,2,2,1,691,4,695
Precinct,Deer Park 03,401,946,9,5,7,1,4,1373,8,1381
Precinct,Edisto Island,712,614,7,4,2,3,2,1344,13,1357
Precinct,Failsafe,16,22,0,1,0,1,1,41,0,41
Precinct,Failsafe Provisional,61,58,0,3,0,0,0,122,1,123
Precinct,Folly Beach 01,315,371,3,2,0,1,0,692,7,699
Precinct,Folly Beach 02,402,456,12,5,1,2,2,880,9,889
Precinct,Isle Of Palms 01a,486,294,14,7,1,0,1,803,12,815
Precinct,Isle of Palms 01b,662,447,6,4,0,0,3,1122,19,1141
Precinct,Isle of Palms 01c,848,561,14,2,1,0,0,1426,22,1448
Precinct,James Island 01a,745,922,19,5,1,2,1,1695,7,1702
Precinct,James Island 01b,193,613,4,3,4,3,2,822,10,832
Precinct,James Island 03,113,509,4,8,4,0,2,640,5,645
Precinct,James Island 05a,630,524,10,5,0,2,1,1172,15,1187
Precinct,James Island 05b,400,258,11,5,0,1,2,677,7,684
Precinct,James Island 06,599,743,12,8,3,4,3,1372,18,1390
Precinct,James Island 07,738,850,23,6,2,4,0,1623,5,1628
Precinct,James Island 08a,444,723,7,7,3,4,3,1191,13,1204
Precinct,James Island 08b,595,767,13,12,0,4,1,1392,8,1400
Precinct,James Island 09,540,566,15,6,2,1,1,1131,7,1138
Precinct,James Island 10,589,627,12,2,3,3,2,1238,4,1242
Precinct,James Island 11,753,762,23,4,3,0,4,1549,22,1571
Precinct,James Island 12,557,517,6,9,2,3,0,1094,14,1108
Precinct,James Island 13,683,630,11,7,1,1,0,1333,18,1351
Precinct,James Island 14,386,299,2,1,0,1,2,691,8,699
Precinct,James Island 15,544,679,16,5,0,2,1,1247,6,1253
Precinct,James Island 17,620,670,13,13,3,3,5,1327,16,1343
Precinct,James Island 19,581,721,8,13,2,1,2,1328,6,1334
Precinct,James Island 20,486,653,8,5,2,2,3,1159,13,1172
Precinct,James Island 22,484,738,16,14,1,4,1,1258,18,1276
Precinct,Johns Island 01a,968,639,8,8,3,1,2,1629,15,1644
Precinct,Johns Island 01b,1089,1137,12,9,6,5,5,2263,14,2277
Precinct,Johns Island 02,2524,2164,42,23,4,4,8,4769,33,4802
Precinct,Johns Island 03a,2219,1848,37,18,4,2,7,4135,35,4170
Precinct,Johns Island 03b,835,788,14,4,4,5,4,1654,28,1682
Precinct,Johns Island 04,450,495,9,4,2,5,2,967,10,977
Precinct,Kiawah Island,876,859,17,4,2,2,1,1761,44,1805
Precinct,Ladson,780,1130,10,4,7,8,1,1940,9,1949
Precinct,Lincolnville,588,763,7,7,5,4,1,1375,8,1383
Precinct,Mcclellanville,579,767,4,3,1,2,3,1359,11,1370
Precinct,Mt. Pleasant 01,584,554,15,7,4,1,1,1166,27,1193
Precinct,Mt. Pleasant 02,515,353,9,7,1,2,0,887,10,897
Precinct,Mt. Pleasant 03,597,697,8,15,0,4,0,1321,17,1338
Precinct,Mt. Pleasant 04,609,548,14,3,1,1,0,1176,13,1189
Precinct,Mt. Pleasant 05,529,412,9,2,0,0,0,952,13,965
Precinct,Mt. Pleasant 06,831,689,13,5,3,8,2,1551,9,1560
Precinct,Mt. Pleasant 07,458,365,6,4,0,0,0,833,8,841
Precinct,Mt. Pleasant 08,358,348,7,3,0,3,1,720,11,731
Precinct,Mt. Pleasant 09,507,364,14,6,3,0,0,894,14,908
Precinct,Mt. Pleasant 10,534,335,8,2,0,0,1,880,15,895
Precinct,Mt. Pleasant 11,649,508,7,5,4,1,1,1175,19,1194
Precinct,Mt. Pleasant 12,1100,975,13,4,0,8,2,2102,14,2116
Precinct,Mt. Pleasant 13,362,385,2,3,1,1,1,755,13,768
Precinct,Mt. Pleasant 14,548,460,9,4,0,2,0,1023,7,1030
Precinct,Mt. Pleasant 15,960,1000,19,13,1,1,4,1998,22,2020
Precinct,Mt. Pleasant 16,410,230,8,5,0,0,0,653,12,665
Precinct,Mt. Pleasant 17,1323,914,21,12,1,1,2,2274,17,2291
Precinct,Mt. Pleasant 18,588,403,6,3,0,3,1,1004,14,1018
Precinct,Mt. Pleasant 19,846,708,7,11,1,6,1,1580,10,1590
Precinct,Mt. Pleasant 20,586,585,13,5,0,2,0,1191,14,1205
Precinct,Mt. Pleasant 21,705,602,10,6,1,2,0,1326,14,1340
Precinct,Mt. Pleasant 22,862,784,14,8,3,3,1,1675,15,1690
Precinct,Mt. Pleasant 23,805,822,13,5,3,2,0,1650,10,1660
Precinct,Mt. Pleasant 24,361,290,2,1,3,1,1,659,4,663
Precinct,Mt. Pleasant 25,545,361,7,4,0,0,1,918,7,925
Precinct,Mt. Pleasant 26,18,402,1,1,2,1,2,427,10,437
Precinct,Mt. Pleasant 27,1405,997,19,9,3,11,2,2446,28,2474
Precinct,Mt. Pleasant 28,517,403,12,4,1,1,2,940,12,952
Precinct,Mt. Pleasant 29,140,121,2,0,0,0,0,263,5,268
Precinct,Mt. Pleasant 30,948,708,12,4,2,3,2,1679,23,1702
Precinct,Mt. Pleasant 31,811,544,12,1,0,1,1,1370,15,1385
Precinct,Mt. Pleasant 32,1453,755,15,7,2,2,1,2235,14,2249
Precinct,Mt. Pleasant 33,2518,1323,16,16,3,8,5,3889,31,3920
Precinct,Mt. Pleasant 34,879,562,4,5,1,1,2,1454,16,1470
Precinct,Mt. Pleasant 35,2716,1692,31,18,3,12,0,4472,31,4503
Precinct,Mt. Pleasant 36,777,663,18,8,5,6,1,1478,11,1489
Precinct,Mt. Pleasant 37,1610,1417,14,5,7,5,4,3062,25,3087
Precinct,Mt. Pleasant 38,957,573,9,6,3,2,1,1551,9,1560
Precinct,Mt. Pleasant 39,2851,1636,23,10,3,5,4,4532,44,4576
Precinct,North Charleston 01,80,456,4,2,2,3,1,548,3,551
Precinct,North Charleston 02,36,229,2,0,0,1,0,268,2,270
Precinct,North Charleston 03,471,393,4,7,3,1,2,881,12,893
Precinct,North Charleston 04,84,522,3,7,3,2,4,625,2,627
Precinct,North Charleston 05,84,692,4,9,2,0,2,793,4,797
Precinct,North Charleston 06,49,578,2,0,8,1,1,639,8,647
Precinct,North Charleston 07,48,463,4,4,5,0,0,524,2,526
Precinct,North Charleston 08,196,468,9,8,2,1,4,688,2,690
Precinct,North Charleston 09,331,668,6,5,5,2,5,1022,7,1029
Precinct,North Charleston 10,121,441,5,4,10,3,1,585,7,592
Precinct,North Charleston 11,276,396,3,4,1,1,3,684,0,684
Precinct,North Charleston 12,273,494,14,4,2,6,1,794,6,800
Precinct,North Charleston 13,65,345,2,1,1,1,1,416,2,418
Precinct,North Charleston 14,162,351,3,2,6,2,4,530,4,534
Precinct,North Charleston 15,102,543,6,4,3,1,3,662,9,671
Precinct,North Charleston 16,223,596,5,5,3,2,4,838,3,841
Precinct,North Charleston 17,112,400,3,3,0,0,2,520,4,524
Precinct,North Charleston 18,224,608,12,3,1,0,4,852,7,859
Precinct,North Charleston 19,135,519,2,3,4,1,0,664,6,670
Precinct,North Charleston 20,229,259,3,1,1,1,0,494,6,500
Precinct,North Charleston 21,241,495,7,1,6,1,0,751,4,755
Precinct,North Charleston 22,194,454,5,2,4,1,0,660,0,660
Precinct,North Charleston 23,465,874,8,4,3,1,4,1359,5,1364
Precinct,North Charleston 24,373,1018,7,7,13,5,6,1429,8,1437
Precinct,North Charleston 25,80,284,2,4,3,1,0,374,4,378
Precinct,North Charleston 26,35,138,0,0,0,2,1,176,4,180
Precinct,North Charleston 27,147,372,2,4,3,0,1,529,4,533
Precinct,North Charleston 28,84,286,0,3,5,1,2,381,1,382
Precinct,North Charleston 29,123,246,0,2,2,0,0,373,3,376
Precinct,North Charleston 30,300,824,1,6,9,2,4,1146,6,1152
Precinct,Provisional,82,132,0,0,0,0,0,214,2,216
Precinct,St. Andrews 01,158,338,8,1,1,0,0,506,0,506
Precinct,St. Andrews 02,304,519,5,2,0,2,1,833,7,840
Precinct,St. Andrews 03,238,766,12,6,3,2,1,1028,12,1040
Precinct,St. Andrews 04,594,564,16,7,2,0,0,1183,9,1192
Precinct,St. Andrews 05,484,666,11,6,1,4,1,1173,13,1186
Precinct,St. Andrews 06,521,435,13,2,0,0,1,972,11,983
Precinct,St. Andrews 07,650,679,16,5,3,2,1,1356,17,1373
Precinct,St. Andrews 08,128,436,3,7,4,0,2,580,4,584
Precinct,St. Andrews 09,69,605,3,2,6,0,2,687,8,695
Precinct,St. Andrews 10,275,475,4,7,4,1,1,767,9,776
Precinct,St. Andrews 11,389,349,9,0,1,1,1,750,14,764
Precinct,St. Andrews 12,402,429,9,7,0,7,0,854,9,863
Precinct,St. Andrews 13,392,389,7,5,3,2,3,801,6,807
Precinct,St. Andrews 14,426,558,7,5,4,0,4,1004,10,1014
Precinct,St. Andrews 15,199,578,6,3,2,0,2,790,7,797
Precinct,St. Andrews 16,418,414,7,7,2,3,3,854,4,858
Precinct,St. Andrews 17,676,580,15,8,1,3,1,1284,10,1294
Precinct,St. Andrews 18,331,763,7,9,2,0,7,1119,7,1126
Precinct,St. Andrews 19,20,205,0,3,1,0,0,229,1,230
Precinct,St. Andrews 20,595,975,11,7,8,1,7,1604,11,1615
Precinct,St. Andrews 21,263,288,3,3,0,1,3,561,3,564
Precinct,St. Andrews 22,491,409,7,6,3,4,0,920,3,923
Precinct,St. Andrews 23,261,387,5,1,2,0,0,656,3,659
Precinct,St. Andrews 24,271,517,5,2,2,0,1,798,12,810
Precinct,St. Andrews 25,340,640,5,10,3,3,2,1003,5,1008
Precinct,St. Andrews 26,431,544,8,6,5,4,0,998,6,1004
Precinct,St. Andrews 27,1389,1851,41,9,12,5,5,3312,29,3341
Precinct,St. Andrews 28,1510,1509,15,9,6,4,3,3056,13,3069
Precinct,St. Andrews 29,1173,1354,24,15,7,3,4,2580,19,2599
Precinct,St. Andrews 30,647,734,10,4,3,1,4,1403,2,1405
Precinct,St. Andrews 31,454,412,7,4,6,6,1,890,5,895
Precinct,St. Andrews 32,460,384,14,6,2,3,2,871,6,877
Precinct,St. Andrews 33,403,303,6,1,1,1,2,717,3,720
Precinct,St. Andrews 34,1006,810,8,14,2,1,0,1841,16,1857
Precinct,St. Andrews 35,785,569,15,13,2,0,0,1384,9,1393
Precinct,St. Andrews 36,638,571,13,4,1,2,2,1231,4,1235
Precinct,St. Andrews 37,1947,1763,37,17,4,9,3,3780,17,3797
Precinct,St. Pauls 01,176,426,3,1,5,1,0,612,4,616
Precinct,St. Pauls 02a,328,319,3,3,4,1,2,660,2,662
Precinct,St. Pauls 02b,462,555,5,0,7,1,2,1032,11,1043
Precinct,St. Pauls 03,1220,623,13,11,6,1,0,1874,15,1889
Precinct,St. Pauls 04,361,828,8,9,5,3,3,1217,10,1227
Precinct,St. Pauls 05,414,365,2,4,3,1,1,790,3,793
Precinct,St. Pauls 06,1188,721,5,5,5,2,2,1928,18,1946
Precinct,Sullivans Island,650,671,22,4,0,3,0,1350,18,1368
Precinct,Town of Seabrook Island,985,939,13,4,1,7,1,1950,48,1998
Precinct,Wadmalaw Island 01,396,482,5,3,1,3,3,893,9,902
Precinct,Wadmalaw Island 02,357,572,5,10,4,1,1,950,9,959
County,Cherokee,18697,5939,61,48,41,34,19,24839,108,24947
Precinct,99 and Cherokee Falls,635,61,2,1,2,5,0,706,3,709
Precinct,Allens,683,72,1,1,0,1,1,759,6,765
Precinct,Alma Mill,526,404,2,2,0,2,0,936,2,938
Precinct,Antioch and Kings Creek,995,97,3,5,0,0,1,1101,4,1105
Precinct,Ashworth,837,96,4,1,0,0,0,938,3,941
Precinct,Blacksburg Ward No. 01,485,150,2,4,1,0,1,643,4,647
Precinct,Blacksburg Ward No. 02,753,127,3,1,2,1,1,888,3,891
Precinct,Draytonville,939,195,2,1,2,3,1,1143,2,1145
Precinct,Ezells and Butler,1003,162,5,4,1,2,1,1178,3,1181
Precinct,Failsafe,72,43,0,0,0,0,0,115,0,115
Precinct,Failsafe Provisional,1,0,0,0,0,0,0,1,0,1
Precinct,Gaffney Ward No. 01,125,227,0,1,1,1,2,357,3,360
Precinct,Gaffney Ward No. 02,154,447,2,1,6,2,1,613,10,623
Precinct,Gaffney Ward No. 03,147,495,0,0,0,2,0,644,5,649
Precinct,Gaffney Ward No. 04,458,402,2,2,3,1,0,868,13,881
Precinct,Gaffney Ward No. 05,446,246,0,0,3,2,0,697,2,699
Precinct,Gaffney Ward No. 06,465,169,1,1,0,0,0,636,3,639
Precinct,Goucher and Thicketty,902,133,6,2,0,1,0,1044,3,1047
Precinct,Grassy Pond,1531,331,2,4,2,2,2,1874,4,1878
Precinct,Holly Grove-Buffalo,787,119,2,3,0,2,2,915,4,919
Precinct,Limestone Mill,280,167,0,0,2,0,0,449,4,453
Precinct,Littlejohns and Sarratt,299,27,2,0,1,0,0,329,0,329
Precinct,Macedonia,1107,272,4,5,2,2,0,1392,5,1397
Precinct,Morgan,915,132,3,1,4,1,0,1056,5,1061
Precinct,Musgrove Mill,870,295,5,2,1,2,2,1177,5,1182
Precinct,Pleasant Grove,367,319,2,2,2,1,1,694,0,694
Precinct,Pleasant Meadows,153,372,3,0,2,0,1,531,3,534
Precinct,Provisional,9,1,0,0,0,0,0,10,0,10
Precinct,Timber Ridge,695,79,0,1,1,0,0,776,3,779
Precinct,White Plains,843,143,2,1,1,1,2,993,0,993
Precinct,Wilkinsville and Metcalf,423,25,1,0,1,0,0,450,3,453
Precinct,Woods,792,131,0,2,1,0,0,926,3,929
County,Chester,9030,6353,60,22,43,26,22,15556,136,15692
Precinct,Baldwin Mill,344,379,3,0,2,0,2,730,10,740
Precinct,Baton Rouge,382,122,1,0,0,5,0,510,2,512
Precinct,Beckhamville,386,242,0,0,2,1,2,633,11,644
Precinct,Blackstock,348,179,0,0,1,0,0,528,3,531
Precinct,Chester Ward 01,366,661,4,2,7,0,1,1041,8,1049
Precinct,Chester Ward 02,112,420,3,1,3,1,1,541,2,543
Precinct,Chester Ward 03,497,506,2,2,4,0,1,1012,10,1022
Precinct,Chester Ward 04,161,429,5,0,2,1,1,599,6,605
Precinct,Chester Ward 05,556,252,7,1,2,0,1,819,6,825
Precinct,Edgemoor,709,270,5,1,2,3,1,991,5,996
Precinct,Eureka Mill,438,617,5,0,6,2,1,1069,9,1078
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Fort Lawn,743,388,0,2,0,2,3,1138,11,1149
Precinct,Great Falls,333,235,1,0,1,2,2,574,6,580
Precinct,Halsellville,80,71,1,0,0,0,0,152,0,152
Precinct,Hazelwood,444,160,3,0,0,0,2,609,3,612
Precinct,Lando/Landsford,644,216,5,6,1,2,0,874,8,882
Precinct,Lowrys,574,200,5,1,1,3,2,786,8,794
Precinct,Provisional,2,0,0,0,0,0,1,3,0,3
Precinct,Richburg,713,411,4,3,4,1,1,1137,4,1141
Precinct,Rodman,718,334,1,3,4,3,0,1063,12,1075
Precinct,Rossville,272,71,3,0,0,0,0,346,5,351
Precinct,Wilksburg,208,190,2,0,1,0,0,401,7,408
County,Chesterfield,11682,6520,38,37,55,38,21,18391,137,18528
Precinct,Angelus-Catarrh,378,145,1,0,3,0,0,527,3,530
Precinct,Bay Springs,241,29,0,2,1,5,1,279,1,280
Precinct,Black Creek,234,97,3,0,0,2,0,336,2,338
Precinct,Brocks Mill,476,509,3,3,7,0,3,1001,7,1008
Precinct,Cash,355,378,4,1,1,1,0,740,5,745
Precinct,Center Grove-Winzo,371,314,1,0,1,0,1,688,6,694
Precinct,Cheraw No. 01,561,352,3,1,2,4,1,924,14,938
Precinct,Cheraw No. 02,386,331,0,2,1,0,0,720,3,723
Precinct,Cheraw No. 03,300,577,5,3,8,2,2,897,17,914
Precinct,Cheraw No. 04,429,441,0,6,3,1,0,880,6,886
Precinct,Courthouse,955,426,4,5,6,2,4,1402,10,1412
Precinct,Dudley-mangum,555,152,0,0,1,0,0,708,5,713
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Grants Mill,609,308,0,0,3,1,0,921,2,923
Precinct,Jefferson,812,407,1,1,4,7,1,1233,9,1242
Precinct,Mcbee,739,346,0,4,3,0,1,1093,7,1100
Precinct,Middendorf,452,72,0,2,0,0,1,527,3,530
Precinct,Mt. Groghan,246,56,0,0,1,0,1,304,3,307
Precinct,Ousleydale,490,62,1,0,0,0,1,554,3,557
Precinct,Pageland No. 01,778,488,3,1,4,4,0,1278,6,1284
Precinct,Pageland No. 02,643,412,4,4,2,3,2,1070,6,1076
Precinct,Patrick,315,132,2,1,2,4,0,456,2,458
Precinct,Pee Dee,180,35,0,0,0,0,0,215,2,217
Precinct,Provisional,4,0,0,0,0,0,0,4,0,4
Precinct,Ruby,505,249,3,0,1,2,2,762,8,770
Precinct,Shiloh,367,125,0,1,1,0,0,494,5,499
Precinct,Snow Hill-Vaughn,301,77,0,0,0,0,0,378,2,380
County,Clarendon,9065,7064,43,27,66,29,26,16320,141,16461
Precinct,Alcolu,315,286,1,2,1,2,0,607,2,609
Precinct,Barrineau,357,43,0,1,2,1,0,404,1,405
Precinct,Barrows Mill,92,23,0,0,0,0,0,115,0,115
Precinct,Bloomville,229,102,0,1,1,1,0,334,2,336
Precinct,Calvary,94,246,1,1,2,1,1,346,2,348
Precinct,Davis Station,847,528,4,2,2,3,1,1387,14,1401
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Harmony,294,210,1,0,2,0,3,510,2,512
Precinct,Hicks,431,72,2,2,0,1,0,508,3,511
Precinct,Home Branch,201,32,1,0,1,1,0,236,2,238
Precinct,Jordan,1550,565,4,1,7,1,2,2130,22,2152
Precinct,Manning No. 01,169,287,1,1,1,0,2,461,2,463
Precinct,Manning No. 02,300,353,1,0,2,0,0,656,9,665
Precinct,Manning No. 03,679,433,3,3,0,4,0,1122,12,1134
Precinct,Manning No. 04,186,782,3,0,7,0,4,982,11,993
Precinct,Manning No. 05,306,377,2,3,9,3,1,701,6,707
Precinct,New Zion,231,112,0,2,0,0,1,346,1,347
Precinct,Oakdale,136,69,0,0,3,0,0,208,1,209
Precinct,Panola,55,106,0,0,1,0,0,162,0,162
Precinct,Paxville,292,383,4,0,6,2,2,689,5,694
Precinct,Provisional,0,0,0,0,0,0,0,0,0,0
Precinct,Sardinia-gable,78,124,0,0,1,1,0,204,0,204
Precinct,Summerton No. 01,1092,590,12,2,3,4,5,1708,14,1722
Precinct,Summerton No. 02,60,207,1,0,1,1,0,270,4,274
Precinct,Summerton No. 03,155,480,1,1,4,0,2,643,7,650
Precinct,Turbeville,559,168,0,4,3,1,1,736,9,745
Precinct,Wilson-Foreston,357,486,1,1,7,2,1,855,10,865
County,Colleton,10696,7376,63,40,41,37,23,18276,105,18381
Precinct,Ashton-lodge,263,72,2,0,2,4,1,344,6,350
Precinct,Bells,147,65,1,0,0,0,0,213,1,214
Precinct,Berea-smoaks,292,297,1,1,1,1,0,593,3,596
Precinct,Canadys,241,175,3,2,0,1,1,423,2,425
Precinct,Cottageville,798,365,0,5,2,5,2,1177,3,1180
Precinct,Edisto,89,114,0,0,2,0,1,206,5,211
Precinct,Edisto Beach,690,283,4,1,2,2,0,982,10,992
Precinct,Failsafe,0,0,0,0,0,0,0,0,0,0
Precinct,Failsafe Provisional,3,1,0,0,0,0,0,4,0,4
Precinct,Green Pond,194,412,4,0,4,1,0,615,3,618
Precinct,Hendersonville,316,410,3,1,2,1,1,734,3,737
Precinct,Horse Pen,284,140,0,2,0,0,0,426,1,427
Precinct,Hudsons Mill,297,118,0,4,0,0,0,419,3,422
Precinct,Jacksonboro,69,162,0,0,1,0,1,233,3,236
Precinct,Maple Cane,619,134,0,2,0,1,0,756,5,761
Precinct,Mashawville,285,270,1,1,0,2,1,560,3,563
Precinct,Peeples,457,280,4,1,2,1,1,746,4,750
Precinct,Peniel,341,257,3,3,0,0,0,604,4,608
Precinct,Petits,125,69,1,1,1,0,0,197,0,197
