"County","Office","Candidate","Party","County Total","State Total"
"Lamar","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","7038","465357"
"Lauderdale","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","10677","465357"
"Lawrence","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1899","465357"
"Leake","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","3182","465357"
"Lee","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","10616","465357"
"Leflore","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","6476","465357"
"Lincoln","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","4262","465357"
"Lowndes","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","11096","465357"
"Madison","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","22700","465357"
"Marion","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","3215","465357"
"Marshall","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","6888","465357"
"Monroe","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","5090","465357"
"Montgomery","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1737","465357"
"Neshoba","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2622","465357"
"Newton","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2603","465357"
"Noxubee","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","3269","465357"
"Oktibbeha","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","8851","465357"
"Panola","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","6061","465357"
"Pearl River","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","3982","465357"
"Perry","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1078","465357"
"Pike","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","6091","465357"
"Pontotoc","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2214","465357"
"Prentiss","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1727","465357"
"Quitman","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1725","465357"
"Rankin","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","18060","465357"
"Scott","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","3729","465357"
"Sharkey","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1201","465357"
"Simpson","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","3479","465357"
"Smith","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1486","465357"
"Stone","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1620","465357"
"Sunflower","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","5312","465357"
"Tallahatchie","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2630","465357"
"Tate","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","3555","465357"
"Tippah","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1547","465357"
"Tishomingo","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","921","465357"
"Tunica","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1837","465357"
"Union","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1807","465357"
"Walthall","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2355","465357"
"Warren","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","8683","465357"
"Washington","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","9735","465357"
"Wayne","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","3028","465357"
"Webster","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","872","465357"
"Wilkinson","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","1817","465357"
"Winston","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","3392","465357"
"Yalobusha","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","2289","465357"
"Yazoo","United States-President","Presidential Electors for Kamala D. Harris for President and Tim Walz for Vice President ","Democrat","4342","465357"
"Adams","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","18","2533"
"Alcorn","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","26","2533"
"Amite","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","17","2533"
"Attala","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","4","2533"
"Benton","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","5","2533"
"Bolivar","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","9","2533"
"Calhoun","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","9","2533"
"Carroll","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","1","2533"
"Chickasaw","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","11","2533"
"Choctaw","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","7","2533"
"Claiborne","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","2","2533"
"Clarke","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","10","2533"
"Clay","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","12","2533"
"Coahoma","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","7","2533"
"Copiah","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","14","2533"
"Covington","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","12","2533"
"DeSoto","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","234","2533"
"Forrest","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","77","2533"
"Franklin","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","2","2533"
"George","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","12","2533"
"Greene","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","12","2533"
"Grenada","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","8","2533"
"Hancock","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","54","2533"
"Harrison","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","212","2533"
"Hinds","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","165","2533"
"Holmes","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","8","2533"
"Humphreys","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","5","2533"
"Issaquena","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","5","2533"
"Itawamba","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","16","2533"
"Jackson","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","143","2533"
"Jasper","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","9","2533"
"Jeff Davis","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","3","2533"
"Jefferson","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","4","2533"
"Jones","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","48","2533"
"Kemper","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","5","2533"
"Lafayette","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","81","2533"
"Lamar","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","74","2533"
"Lauderdale","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","42","2533"
"Lawrence","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","13","2533"
"Leake","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","6","2533"
"Lee","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","89","2533"
"Leflore","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","18","2533"
"Lincoln","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","26","2533"
"Lowndes","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","46","2533"
"Madison","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","169","2533"
"Marion","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","21","2533"
"Marshall","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","22","2533"
"Monroe","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","16","2533"
"Montgomery","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","5","2533"
"Neshoba","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","7","2533"
"Newton","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","18","2533"
"Noxubee","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","5","2533"
"Oktibbeha","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","65","2533"
"Panola","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","16","2533"
"Pearl River","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","64","2533"
"Perry","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","8","2533"
"Pike","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","17","2533"
"Pontotoc","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","21","2533"
"Prentiss","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","12","2533"
"Quitman","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","9","2533"
"Rankin","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","220","2533"
"Scott","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","6","2533"
"Sharkey","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","1","2533"
"Simpson","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","11","2533"
"Smith","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","7","2533"
"Stone","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","21","2533"
"Sunflower","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","10","2533"
"Tallahatchie","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","5","2533"
"Tate","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","29","2533"
"Tippah","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","11","2533"
"Tishomingo","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","17","2533"
"Tunica","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","3","2533"
"Union","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","12","2533"
"Walthall","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","13","2533"
"Warren","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","35","2533"
"Washington","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","22","2533"
"Wayne","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","12","2533"
"Webster","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","5","2533"
"Wilkinson","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","8","2533"
"Winston","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","8","2533"
"Yalobusha","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","12","2533"
"Yazoo","United States-President","Presidential Electors for Chase Oliver for President and Mike ter Maat for Vice President","Libertarian","9","2533"
"Adams","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","14","1871"
"Alcorn","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","12","1871"
"Amite","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","11","1871"
"Attala","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","3","1871"
"Benton","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","4","1871"
"Bolivar","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","12","1871"
"Calhoun","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","0","1871"
"Carroll","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","3","1871"
"Chickasaw","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","4","1871"
"Choctaw","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","7","1871"
"Claiborne","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","4","1871"
"Clarke","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","5","1871"
"Clay","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","9","1871"
"Coahoma","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","5","1871"
"Copiah","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","8","1871"
"Covington","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","7","1871"
"DeSoto","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","267","1871"
"Forrest","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","69","1871"
"Franklin","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","2","1871"
"George","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","12","1871"
"Greene","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","1","1871"
"Grenada","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","11","1871"
"Hancock","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","32","1871"
"Harrison","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","139","1871"
"Hinds","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","203","1871"
"Holmes","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","15","1871"
"Humphreys","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","6","1871"
"Issaquena","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","7","1871"
"Itawamba","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","7","1871"
"Jackson","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","102","1871"
"Jasper","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","5","1871"
"Jeff Davis","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","4","1871"
"Jefferson","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","3","1871"
"Jones","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","22","1871"
"Kemper","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","1","1871"
"Lafayette","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","94","1871"
"Lamar","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","42","1871"
"Lauderdale","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","26","1871"
"Lawrence","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","3","1871"
"Leake","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","7","1871"
"Lee","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","53","1871"
"Leflore","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","12","1871"
"Lincoln","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","12","1871"
"Lowndes","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","27","1871"
"Madison","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","109","1871"
"Marion","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","5","1871"
"Marshall","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","14","1871"
"Monroe","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","15","1871"
"Montgomery","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","1","1871"
"Neshoba","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","9","1871"
"Newton","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","10","1871"
"Noxubee","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","2","1871"
"Oktibbeha","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","48","1871"
"Panola","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","18","1871"
"Pearl River","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","34","1871"
"Perry","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","8","1871"
"Pike","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","15","1871"
"Pontotoc","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","13","1871"
"Prentiss","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","10","1871"
"Quitman","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","2","1871"
"Rankin","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","104","1871"
"Scott","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","6","1871"
"Sharkey","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","4","1871"
"Simpson","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","5","1871"
"Smith","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","3","1871"
"Stone","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","4","1871"
"Sunflower","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","4","1871"
"Tallahatchie","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","3","1871"
"Tate","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","12","1871"
"Tippah","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","5","1871"
"Tishomingo","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","10","1871"
"Tunica","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","1","1871"
"Union","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","17","1871"
"Walthall","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","7","1871"
"Warren","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","33","1871"
"Washington","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","15","1871"
"Wayne","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","6","1871"
"Webster","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","5","1871"
"Wilkinson","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","1","1871"
"Winston","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","12","1871"
"Yalobusha","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","3","1871"
"Yazoo","United States-President","Presidential Electors for Jill Stein for President and Rudolph Ware for Vice President","Green","6","1871"
"Adams","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","13","1028"
"Alcorn","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","11","1028"
"Amite","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","11","1028"
"Attala","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","10","1028"
"Benton","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","1","1028"
"Bolivar","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","4","1028"
"Calhoun","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","7","1028"
"Carroll","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","3","1028"
"Chickasaw","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","9","1028"
"Choctaw","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","4","1028"
"Claiborne","United States-President","Presidential Electors for Randall Terry for President and Stephen E. Broden for Vice President","Constitution","2","1028"
