ContestName,PartyCode,AreaNum,CandidateName,VoteFor,CandidateVotes,CandidatePercentage,PrecinctsReporting
"President & Vice-President of the United States","REP","","Trump and Vance",1,1614,76.02%,4/4,"LaMoure",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,453,21.34%,4/4,"LaMoure",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,42,1.98%,4/4,"LaMoure",
"President & Vice-President of the United States","NON","","write-in ",1,14,0.66%,4/4,"LaMoure",
"President & Vice-President of the United States","REP","","Trump and Vance",1,898,86.93%,5/5,"Logan",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,117,11.33%,5/5,"Logan",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,16,1.55%,5/5,"Logan",
"President & Vice-President of the United States","NON","","write-in ",1,2,0.19%,5/5,"Logan",
"President & Vice-President of the United States","REP","","Trump and Vance",1,2223,80.78%,8/8,"McHenry",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,479,17.41%,8/8,"McHenry",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,33,1.20%,8/8,"McHenry",
"President & Vice-President of the United States","NON","","write-in ",1,17,0.62%,8/8,"McHenry",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1132,81.44%,6/6,"McIntosh",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,229,16.47%,6/6,"McIntosh",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,20,1.44%,6/6,"McIntosh",
"President & Vice-President of the United States","NON","","write-in ",1,9,0.65%,6/6,"McIntosh",
"President & Vice-President of the United States","REP","","Trump and Vance",1,4627,83.81%,11/11,"McKenzie",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,809,14.65%,11/11,"McKenzie",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,47,0.85%,11/11,"McKenzie",
"President & Vice-President of the United States","NON","","write-in ",1,38,0.69%,11/11,"McKenzie",
"President & Vice-President of the United States","REP","","Trump and Vance",1,4231,78.05%,6/6,"McLean",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,1093,20.16%,6/6,"McLean",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,74,1.37%,6/6,"McLean",
"President & Vice-President of the United States","NON","","write-in ",1,23,0.42%,6/6,"McLean",
"President & Vice-President of the United States","REP","","Trump and Vance",1,3798,83.38%,14/14,"Mercer",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,672,14.75%,14/14,"Mercer",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,60,1.32%,14/14,"Mercer",
"President & Vice-President of the United States","NON","","write-in ",1,25,0.55%,14/14,"Mercer",
"President & Vice-President of the United States","REP","","Trump and Vance",1,12839,75.36%,17/17,"Morton",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,3748,22.00%,17/17,"Morton",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,319,1.87%,17/17,"Morton",
"President & Vice-President of the United States","NON","","write-in ",1,130,0.76%,17/17,"Morton",
"President & Vice-President of the United States","REP","","Trump and Vance",1,2877,70.64%,6/6,"Mountrail",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,1125,27.62%,6/6,"Mountrail",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,58,1.42%,6/6,"Mountrail",
"President & Vice-President of the United States","NON","","write-in ",1,13,0.32%,6/6,"Mountrail",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1141,64.79%,2/2,"Nelson",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,580,32.94%,2/2,"Nelson",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,34,1.93%,2/2,"Nelson",
"President & Vice-President of the United States","NON","","write-in ",1,6,0.34%,2/2,"Nelson",
"President & Vice-President of the United States","REP","","Trump and Vance",1,909,83.62%,1/1,"Oliver",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,156,14.35%,1/1,"Oliver",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,19,1.75%,1/1,"Oliver",
"President & Vice-President of the United States","NON","","write-in ",1,3,0.28%,1/1,"Oliver",
"President & Vice-President of the United States","REP","","Trump and Vance",1,2350,75.51%,6/6,"Pembina",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,704,22.62%,6/6,"Pembina",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,34,1.09%,6/6,"Pembina",
"President & Vice-President of the United States","NON","","write-in ",1,24,0.77%,6/6,"Pembina",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1493,75.79%,9/9,"Pierce",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,439,22.28%,9/9,"Pierce",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,23,1.17%,9/9,"Pierce",
"President & Vice-President of the United States","NON","","write-in ",1,15,0.76%,9/9,"Pierce",
"President & Vice-President of the United States","REP","","Trump and Vance",1,3609,68.89%,5/5,"Ramsey",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,1513,28.88%,5/5,"Ramsey",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,82,1.57%,5/5,"Ramsey",
"President & Vice-President of the United States","NON","","write-in ",1,35,0.67%,5/5,"Ramsey",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1661,62.70%,1/1,"Ransom",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,920,34.73%,1/1,"Ransom",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,51,1.93%,1/1,"Ransom",
"President & Vice-President of the United States","NON","","write-in ",1,17,0.64%,1/1,"Ransom",
"President & Vice-President of the United States","REP","","Trump and Vance",1,993,82.20%,5/5,"Renville",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,179,14.82%,5/5,"Renville",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,31,2.57%,5/5,"Renville",
"President & Vice-President of the United States","NON","","write-in ",1,5,0.41%,5/5,"Renville",
"President & Vice-President of the United States","REP","","Trump and Vance",1,5576,67.50%,13/13,"Richland",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,2473,29.94%,13/13,"Richland",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,150,1.82%,13/13,"Richland",
"President & Vice-President of the United States","NON","","write-in ",1,62,0.75%,13/13,"Richland",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,2567,62.99%,5/5,"Rolette",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1427,35.02%,5/5,"Rolette",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,66,1.62%,5/5,"Rolette",
"President & Vice-President of the United States","NON","","write-in ",1,15,0.37%,5/5,"Rolette",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1325,64.86%,2/2,"Sargent",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,663,32.45%,2/2,"Sargent",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,36,1.76%,2/2,"Sargent",
"President & Vice-President of the United States","NON","","write-in ",1,19,0.93%,2/2,"Sargent",
"President & Vice-President of the United States","REP","","Trump and Vance",1,644,85.07%,1/1,"Sheridan",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,101,13.34%,1/1,"Sheridan",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,8,1.06%,1/1,"Sheridan",
"President & Vice-President of the United States","NON","","write-in ",1,4,0.53%,1/1,"Sheridan",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,654,68.63%,3/3,"Sioux",
"President & Vice-President of the United States","REP","","Trump and Vance",1,285,29.91%,3/3,"Sioux",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,11,1.15%,3/3,"Sioux",
"President & Vice-President of the United States","NON","","write-in ",1,3,0.31%,3/3,"Sioux",
"President & Vice-President of the United States","REP","","Trump and Vance",1,351,90.23%,3/3,"Slope",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,33,8.48%,3/3,"Slope",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,3,0.77%,3/3,"Slope",
"President & Vice-President of the United States","NON","","write-in ",1,2,0.51%,3/3,"Slope",
"President & Vice-President of the United States","REP","","Trump and Vance",1,12323,81.61%,8/8,"Stark",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,2473,16.38%,8/8,"Stark",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,221,1.46%,8/8,"Stark",
"President & Vice-President of the United States","NON","","write-in ",1,83,0.55%,8/8,"Stark",
"President & Vice-President of the United States","REP","","Trump and Vance",1,622,61.28%,5/5,"Steele",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,367,36.16%,5/5,"Steele",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,16,1.58%,5/5,"Steele",
"President & Vice-President of the United States","NON","","write-in ",1,10,0.99%,5/5,"Steele",
"President & Vice-President of the United States","REP","","Trump and Vance",1,7185,70.90%,9/9,"Stutsman",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,2692,26.56%,9/9,"Stutsman",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,196,1.93%,9/9,"Stutsman",
"President & Vice-President of the United States","NON","","write-in ",1,61,0.60%,9/9,"Stutsman",
"President & Vice-President of the United States","REP","","Trump and Vance",1,796,71.45%,3/3,"Towner",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,289,25.94%,3/3,"Towner",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,25,2.24%,3/3,"Towner",
"President & Vice-President of the United States","NON","","write-in ",1,4,0.36%,3/3,"Towner",
"President & Vice-President of the United States","REP","","Trump and Vance",1,2650,64.40%,12/12,"Traill",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,1359,33.03%,12/12,"Traill",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,71,1.73%,12/12,"Traill",
"President & Vice-President of the United States","NON","","write-in ",1,35,0.85%,12/12,"Traill",
"President & Vice-President of the United States","REP","","Trump and Vance",1,3186,70.86%,2/2,"Walsh",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,1173,26.09%,2/2,"Walsh",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,97,2.16%,2/2,"Walsh",
"President & Vice-President of the United States","NON","","write-in ",1,40,0.89%,2/2,"Walsh",
"President & Vice-President of the United States","REP","","Trump and Vance",1,20635,72.27%,16/16,"Ward",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,7215,25.27%,16/16,"Ward",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,476,1.67%,16/16,"Ward",
"President & Vice-President of the United States","NON","","write-in ",1,226,0.79%,16/16,"Ward",
"President & Vice-President of the United States","REP","","Trump and Vance",1,1815,80.56%,1/1,"Wells",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,405,17.98%,1/1,"Wells",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,22,0.98%,1/1,"Wells",
"President & Vice-President of the United States","NON","","write-in ",1,11,0.49%,1/1,"Wells",
"President & Vice-President of the United States","REP","","Trump and Vance",1,12501,82.67%,24/24,"Williams",
"President & Vice-President of the United States","DEM","","Harris and Walz",1,2276,15.05%,24/24,"Williams",
"President & Vice-President of the United States","LIB","","Oliver and Maat",1,233,1.54%,24/24,"Williams",
"President & Vice-President of the United States","NON","","write-in ",1,112,0.74%,24/24,"Williams",
"United States Senator","REP","","Kevin  Cramer ",1,933,77.94%,1/1,"Adams",
"United States Senator","DEM","","Katrina  Christiansen ",1,259,21.64%,1/1,"Adams",
"United States Senator","NON","","write-in ",1,5,0.42%,1/1,"Adams",
"United States Senator","REP","","Kevin  Cramer ",1,3403,63.97%,15/15,"Barnes",
"United States Senator","DEM","","Katrina  Christiansen ",1,1901,35.73%,15/15,"Barnes",
"United States Senator","NON","","write-in ",1,16,0.30%,15/15,"Barnes",
"United States Senator","REP","","Kevin  Cramer ",1,1071,55.01%,8/8,"Benson",
"United States Senator","DEM","","Katrina  Christiansen ",1,873,44.84%,8/8,"Benson",
"United States Senator","NON","","write-in ",1,3,0.15%,8/8,"Benson",
"United States Senator","REP","","Kevin  Cramer ",1,529,81.38%,3/3,"Billings",
"United States Senator","DEM","","Katrina  Christiansen ",1,117,18.00%,3/3,"Billings",
"United States Senator","NON","","write-in ",1,4,0.62%,3/3,"Billings",
"United States Senator","REP","","Kevin  Cramer ",1,2511,73.44%,5/5,"Bottineau",
"United States Senator","DEM","","Katrina  Christiansen ",1,895,26.18%,5/5,"Bottineau",
"United States Senator","NON","","write-in ",1,13,0.38%,5/5,"Bottineau",
"United States Senator","REP","","Kevin  Cramer ",1,1349,83.53%,4/4,"Bowman",
"United States Senator","DEM","","Katrina  Christiansen ",1,263,16.28%,4/4,"Bowman",
"United States Senator","NON","","write-in ",1,3,0.19%,4/4,"Bowman",
"United States Senator","REP","","Kevin  Cramer ",1,868,82.59%,6/6,"Burke",
"United States Senator","DEM","","Katrina  Christiansen ",1,175,16.65%,6/6,"Burke",
"United States Senator","NON","","write-in ",1,8,0.76%,6/6,"Burke",
"United States Senator","REP","","Kevin  Cramer ",1,35755,69.15%,30/30,"Burleigh",
"United States Senator","DEM","","Katrina  Christiansen ",1,15714,30.39%,30/30,"Burleigh",
"United States Senator","NON","","write-in ",1,240,0.46%,30/30,"Burleigh",
"United States Senator","REP","","Kevin  Cramer ",1,48637,53.95%,34/34,"Cass",
"United States Senator","DEM","","Katrina  Christiansen ",1,41321,45.83%,34/34,"Cass",
"United States Senator","NON","","write-in ",1,199,0.22%,34/34,"Cass",
"United States Senator","REP","","Kevin  Cramer ",1,1421,71.44%,3/3,"Cavalier",
"United States Senator","DEM","","Katrina  Christiansen ",1,562,28.26%,3/3,"Cavalier",
"United States Senator","NON","","write-in ",1,6,0.30%,3/3,"Cavalier",
"United States Senator","REP","","Kevin  Cramer ",1,1722,70.86%,1/1,"Dickey",
"United States Senator","DEM","","Katrina  Christiansen ",1,706,29.05%,1/1,"Dickey",
"United States Senator","NON","","write-in ",1,2,0.08%,1/1,"Dickey",
"United States Senator","REP","","Kevin  Cramer ",1,887,73.92%,4/4,"Divide",
"United States Senator","DEM","","Katrina  Christiansen ",1,309,25.75%,4/4,"Divide",
"United States Senator","NON","","write-in ",1,4,0.33%,4/4,"Divide",
"United States Senator","REP","","Kevin  Cramer ",1,1805,81.75%,10/10,"Dunn",
"United States Senator","DEM","","Katrina  Christiansen ",1,395,17.89%,10/10,"Dunn",
"United States Senator","NON","","write-in ",1,8,0.36%,10/10,"Dunn",
"United States Senator","REP","","Kevin  Cramer ",1,832,68.42%,3/3,"Eddy",
"United States Senator","DEM","","Katrina  Christiansen ",1,380,31.25%,3/3,"Eddy",
"United States Senator","NON","","write-in ",1,4,0.33%,3/3,"Eddy",
"United States Senator","REP","","Kevin  Cramer ",1,1534,80.69%,5/5,"Emmons",
"United States Senator","DEM","","Katrina  Christiansen ",1,355,18.67%,5/5,"Emmons",
"United States Senator","NON","","write-in ",1,12,0.63%,5/5,"Emmons",
"United States Senator","REP","","Kevin  Cramer ",1,1279,75.68%,1/1,"Foster",
"United States Senator","DEM","","Katrina  Christiansen ",1,408,24.14%,1/1,"Foster",
"United States Senator","NON","","write-in ",1,3,0.18%,1/1,"Foster",
"United States Senator","REP","","Kevin  Cramer ",1,822,83.88%,1/1,"Golden Valley",
"United States Senator","DEM","","Katrina  Christiansen ",1,156,15.92%,1/1,"Golden Valley",
"United States Senator","NON","","write-in ",1,2,0.20%,1/1,"Golden Valley",
"United States Senator","REP","","Kevin  Cramer ",1,18509,59.71%,20/20,"Grand Forks",
"United States Senator","DEM","","Katrina  Christiansen ",1,12418,40.06%,20/20,"Grand Forks",
"United States Senator","NON","","write-in ",1,71,0.23%,20/20,"Grand Forks",
"United States Senator","REP","","Kevin  Cramer ",1,1035,79.31%,5/5,"Grant",
"United States Senator","DEM","","Katrina  Christiansen ",1,267,20.46%,5/5,"Grant",
"United States Senator","NON","","write-in ",1,3,0.23%,5/5,"Grant",
"United States Senator","REP","","Kevin  Cramer ",1,936,72.73%,5/5,"Griggs",
"United States Senator","DEM","","Katrina  Christiansen ",1,347,26.96%,5/5,"Griggs",
"United States Senator","NON","","write-in ",1,4,0.31%,5/5,"Griggs",
"United States Senator","REP","","Kevin  Cramer ",1,1057,82.32%,2/2,"Hettinger",
"United States Senator","DEM","","Katrina  Christiansen ",1,225,17.52%,2/2,"Hettinger",
"United States Senator","NON","","write-in ",1,2,0.16%,2/2,"Hettinger",
"United States Senator","REP","","Kevin  Cramer ",1,1056,76.86%,6/6,"Kidder",
"United States Senator","DEM","","Katrina  Christiansen ",1,316,23.00%,6/6,"Kidder",
"United States Senator","NON","","write-in ",1,2,0.15%,6/6,"Kidder",
"United States Senator","REP","","Kevin  Cramer ",1,1536,72.35%,4/4,"LaMoure",
"United States Senator","DEM","","Katrina  Christiansen ",1,581,27.37%,4/4,"LaMoure",
"United States Senator","NON","","write-in ",1,6,0.28%,4/4,"LaMoure",
"United States Senator","REP","","Kevin  Cramer ",1,833,81.35%,5/5,"Logan",
"United States Senator","DEM","","Katrina  Christiansen ",1,185,18.07%,5/5,"Logan",
"United States Senator","NON","","write-in ",1,6,0.59%,5/5,"Logan",
"United States Senator","REP","","Kevin  Cramer ",1,2068,75.83%,8/8,"McHenry",
"United States Senator","DEM","","Katrina  Christiansen ",1,649,23.80%,8/8,"McHenry",
"United States Senator","NON","","write-in ",1,10,0.37%,8/8,"McHenry",
"United States Senator","REP","","Kevin  Cramer ",1,1060,76.26%,6/6,"McIntosh",
"United States Senator","DEM","","Katrina  Christiansen ",1,324,23.31%,6/6,"McIntosh",
"United States Senator","NON","","write-in ",1,6,0.43%,6/6,"McIntosh",
"United States Senator","REP","","Kevin  Cramer ",1,4523,83.07%,11/11,"McKenzie",
"United States Senator","DEM","","Katrina  Christiansen ",1,900,16.53%,11/11,"McKenzie",
"United States Senator","NON","","write-in ",1,22,0.40%,11/11,"McKenzie",
"United States Senator","REP","","Kevin  Cramer ",1,3981,74.11%,6/6,"McLean",
"United States Senator","DEM","","Katrina  Christiansen ",1,1370,25.50%,6/6,"McLean",
"United States Senator","NON","","write-in ",1,21,0.39%,6/6,"McLean",
"United States Senator","REP","","Kevin  Cramer ",1,3414,76.63%,14/14,"Mercer",
"United States Senator","DEM","","Katrina  Christiansen ",1,1010,22.67%,14/14,"Mercer",
"United States Senator","NON","","write-in ",1,31,0.70%,14/14,"Mercer",
"United States Senator","REP","","Kevin  Cramer ",1,12263,73.13%,17/17,"Morton",
"United States Senator","DEM","","Katrina  Christiansen ",1,4431,26.42%,17/17,"Morton",
"United States Senator","NON","","write-in ",1,75,0.45%,17/17,"Morton",
"United States Senator","REP","","Kevin  Cramer ",1,2824,69.87%,6/6,"Mountrail",
"United States Senator","DEM","","Katrina  Christiansen ",1,1208,29.89%,6/6,"Mountrail",
"United States Senator","NON","","write-in ",1,10,0.25%,6/6,"Mountrail",
"United States Senator","REP","","Kevin  Cramer ",1,1091,62.31%,2/2,"Nelson",
"United States Senator","DEM","","Katrina  Christiansen ",1,657,37.52%,2/2,"Nelson",
"United States Senator","NON","","write-in ",1,3,0.17%,2/2,"Nelson",
"United States Senator","REP","","Kevin  Cramer ",1,846,79.14%,1/1,"Oliver",
"United States Senator","DEM","","Katrina  Christiansen ",1,217,20.30%,1/1,"Oliver",
"United States Senator","NON","","write-in ",1,6,0.56%,1/1,"Oliver",
"United States Senator","REP","","Kevin  Cramer ",1,2264,72.87%,6/6,"Pembina",
"United States Senator","DEM","","Katrina  Christiansen ",1,840,27.04%,6/6,"Pembina",
"United States Senator","NON","","write-in ",1,3,0.10%,6/6,"Pembina",
"United States Senator","REP","","Kevin  Cramer ",1,1445,73.42%,9/9,"Pierce",
"United States Senator","DEM","","Katrina  Christiansen ",1,515,26.17%,9/9,"Pierce",
"United States Senator","NON","","write-in ",1,8,0.41%,9/9,"Pierce",
