county,municipality,ward,ballots_cast,registered_voters,registration_denominator_timing,source_url,source_level,notes
Jefferson,Town of Watertown,"Town of Watertown (W1,2)",1359,1430,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Village of Cambridge,Village of Cambridge (W1),60,61,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Village of Johnson Creek,Village of Johnson Creek(W1-4),1933,1959,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Village of Lac La Belle,Village of Lac La Belle (W2),0,0,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Village of Palmyra,"Village of Palmyra (W1,2)",1026,1103,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,Village of Sullivan,"Village of Sullivan (W1,2)",390,429,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,City of Fort Atkinson,City of Fort Atkinson (W1-13),6789,7173,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,City of Jefferson,City of Jefferson (W1-10),4215,4379,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,City of Lake Mills,City of Lake Mills (W1-8),4128,4293,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,City of Waterloo,City of Waterloo (W1-5),1967,2107,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,City of Watertown,"City of Watertown (W9,10)",1055,1101,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,City of Watertown,City of Watertown (W11-13),1229,1339,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,City of Watertown,"City of Watertown (W14,15)",900,896,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,City of Watertown,"City of Watertown (W16,17)",1424,1478,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,City of Watertown,"City of Watertown (W18,19)",1342,1411,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,City of Watertown,City of Watertown (W20-22),1650,1680,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
Jefferson,City of Whitewater,City of Whitewater (W11-13),1094,862,unknown,https://apps.jeffersoncountywi.gov/jc/election/results/11052024,ward,"Jefferson County hosted 2024 Fall General Election results page. Registered-voter denominator timing is not stated, so the app treats it as unknown and warning-gated."
