,,Kamala D. Harris and Timothy Walz,Donald J. Trump and JD Vance,"Robert F. Kennedy, Jr and Nicole Shanahan",Jill Stein and Rudolph Ware,Chase Oliver and Mike Ter Maat,Claudia De La Cruz and Karina Garcia,Laura Ebke and Trisha Butler,Total Votes Cast,Total Ballots Cast
,,Democratic,Republican,Independent,Green,Libertarian,Party for Socialism and Liberation,Liberal Party USA,,
Precinct,9,138,407,*,*,*,*,*,545,545
Precinct,10,210,258,10,*,*,*,*,478,478
Precinct,11,121,163,*,*,*,*,*,284,284
Precinct,12,50,58,*,*,*,*,*,108,108
Precinct,13,205,272,5,*,*,*,*,482,482
Precinct,14,104,136,*,*,*,*,*,240,240
Precinct,15,155,324,*,*,*,*,*,479,479
Precinct,16,157,425,6,*,*,*,*,588,588
Precinct,17,167,450,*,*,*,*,*,617,617
Precinct,18,160,400,5,*,*,*,*,565,565
Precinct,19,134,344,5,*,*,*,*,483,483
Precinct,20,105,304,*,*,*,*,*,409,409
Precinct,21,96,192,*,*,*,*,*,288,288
Precinct,22,157,324,5,*,*,*,*,486,486
Precinct,23,141,304,*,*,*,*,*,445,445
Precinct,24,74,481,5,*,*,*,*,560,560
Precinct,25,64,172,*,*,*,*,*,236,236
Precinct,26,101,326,*,*,*,*,*,427,427
Precinct,27,88,257,*,*,*,*,*,345,345
Precinct,28,106,363,5,*,*,*,*,474,474
Precinct,29,*,39,*,*,*,*,*,39,39
Precinct,30,9,58,*,*,*,*,*,67,67
Precinct,31,95,358,*,*,*,*,*,453,453
Precinct,32,166,343,*,*,*,*,*,509,509
Precinct,33,82,325,*,*,*,*,*,407,407
Precinct,34,105,501,*,*,*,*,*,606,606
Precinct,35,115,550,5,*,*,*,*,670,670
Precinct,36,77,558,*,*,*,*,*,635,635
Precinct,37,59,383,*,*,*,*,*,442,442
Precinct,38,25,93,*,*,*,*,*,118,118
Precinct,39,42,299,*,*,*,*,*,341,341
Precinct,40,6,100,*,*,*,*,*,106,106
Precinct,41,54,379,*,*,*,*,*,433,433
Precinct,42,*,30,*,*,*,*,*,30,30
Precinct,43,47,347,*,*,*,*,*,394,394
Precinct,44,121,285,*,*,*,*,*,406,406
Precinct,45,94,327,*,*,*,*,*,421,421
Precinct,46,53,393,*,*,*,*,*,446,446
Precinct,47,97,277,*,*,*,*,*,374,374
Precinct,48,95,283,*,*,*,*,*,378,378
Precinct,49,44,243,*,*,*,*,*,287,287
Precinct,50,104,490,*,*,*,*,*,594,594
Precinct,51,108,582,7,*,*,*,*,697,697
Precinct,52,188,856,5,*,5,*,*,1054,1054
Precinct,53,67,288,5,*,*,*,*,360,360
Precinct,54,106,346,*,*,*,*,*,452,452
Precinct,Voter Privacy,7,0,96,40,54,18,13,228,228
County,Grant,7301,6580,140,111,53,27,12,14224,14224
Precinct,1,70,310,*,*,*,*,*,380,380
Precinct,2,158,231,*,*,*,*,*,389,389
Precinct,3,23,8,*,*,*,*,*,31,31
Precinct,4,45,43,*,*,*,*,*,88,88
Precinct,5,287,414,6,5,*,*,*,712,712
Precinct,6,16,26,*,*,*,*,*,42,42
Precinct,7,192,175,7,*,*,*,*,374,374
Precinct,8,219,318,8,*,*,*,*,545,545
Precinct,9,111,77,*,*,*,*,*,188,188
Precinct,10,85,85,*,*,*,*,*,170,170
Precinct,11,211,359,*,*,*,*,*,570,570
Precinct,12,321,308,6,5,*,*,*,640,640
Precinct,13,247,248,*,5,*,*,*,500,500
Precinct,14,391,242,9,9,*,*,*,651,651
Precinct,15,356,253,*,6,*,*,*,615,615
Precinct,16,309,238,8,5,*,*,*,560,560
Precinct,17,119,148,5,*,*,*,*,272,272
Precinct,18,262,93,5,8,*,*,*,368,368
Precinct,19,209,104,*,*,*,*,*,313,313
Precinct,20,394,143,*,8,*,*,*,545,545
Precinct,21,119,31,*,*,*,*,*,150,150
Precinct,22,360,220,5,5,*,*,*,590,590
Precinct,23,95,104,*,*,*,*,*,199,199
Precinct,24,118,110,*,*,*,*,*,228,228
Precinct,25,203,99,*,*,*,*,*,302,302
Precinct,26,155,118,*,*,*,*,*,273,273
Precinct,27,143,79,*,*,*,*,*,222,222
Precinct,28,229,124,5,*,*,*,*,358,358
Precinct,29,169,128,5,*,*,*,*,302,302
Precinct,30,161,261,*,*,*,*,*,422,422
Precinct,31,*,33,*,*,*,*,*,33,33
Precinct,32,100,45,*,*,*,*,*,145,145
Precinct,33,136,203,7,*,*,*,*,346,346
Precinct,34,205,136,7,*,*,*,*,348,348
Precinct,35,12,45,*,*,*,*,*,57,57
Precinct,36,185,209,6,*,*,*,*,400,400
Precinct,37,155,243,*,*,7,*,*,405,405
Precinct,38,405,317,*,12,*,*,*,734,734
Precinct,39,323,252,*,6,*,*,*,581,581
Precinct,Voter Privacy,3,0,51,37,46,27,12,176,176
County,Guadalupe,959,945,24,3,0,4,3,1938,1938
Precinct,1,333,307,7,*,*,*,*,647,647
Precinct,2,146,139,*,*,*,*,*,285,285
Precinct,3,211,277,*,*,*,*,*,488,488
Precinct,4,89,74,*,*,*,*,*,163,163
Precinct,5,180,148,7,*,*,*,*,335,335
Precinct,Voter Privacy,0,0,10,3,0,4,3,20,20
County,Harding,128,297,2,3,0,0,1,431,431
Precinct,1,37,107,*,*,*,*,*,144,144
Precinct,2,91,157,*,*,*,*,*,248,248
Precinct,3,*,33,*,*,*,*,*,33,33
Precinct,Voter Privacy,0,0,2,3,0,0,1,6,6
County,Hidalgo,705,1140,16,0,0,1,0,1862,1862
Precinct,1 - Lordsburg West,114,169,*,*,*,*,*,283,283
Precinct,2 - Lordsburg Central,106,94,*,*,*,*,*,200,200
Precinct,3 - Lordsburg East,*,*,*,*,*,*,*,0,0
Precinct,4 - Virden,24,165,*,*,*,*,*,189,189
Precinct,5 - Rodeo,64,73,*,*,*,*,*,137,137
Precinct,6 - Animas,13,136,*,*,*,*,*,149,149
Precinct,7 - Lordsburg Northwest,25,52,*,*,*,*,*,77,77
Precinct,8 - South Animas/South Lordsburg,50,117,*,*,*,*,*,167,167
Precinct,9 - Animas Central,7,77,*,*,*,*,*,84,84
Precinct,10 - Lordsburg Northeast,84,56,*,*,*,*,*,140,140
Precinct,11 - Lordsburg Southwest,201,141,*,*,*,*,*,342,342
Precinct,12 - Lordsburg,17,60,*,*,*,*,*,77,77
Precinct,Voter Privacy,0,0,16,0,0,1,0,17,17
County,Lea,3930,16997,157,31,42,35,17,21209,21209
Precinct,2,*,22,*,*,*,*,*,22,22
Precinct,3,52,465,*,*,*,6,*,523,523
Precinct,8,57,232,6,*,*,*,*,295,295
Precinct,9,64,396,*,*,*,*,*,460,460
Precinct,10,92,627,*,*,*,*,*,719,719
Precinct,11,80,262,*,*,*,*,*,342,342
Precinct,12,57,193,*,*,*,*,*,250,250
Precinct,13,87,437,8,*,*,*,*,532,532
Precinct,14,111,370,5,*,*,*,*,486,486
Precinct,15,70,446,8,*,*,*,*,524,524
Precinct,16,78,150,5,*,*,*,*,233,233
Precinct,17,58,229,*,*,*,*,*,287,287
Precinct,18,38,284,*,*,*,*,*,322,322
Precinct,19,63,385,*,*,*,*,*,448,448
Precinct,20,99,461,*,*,*,*,*,560,560
Precinct,21,20,243,*,*,*,*,*,263,263
Precinct,22,86,442,*,*,*,*,*,528,528
Precinct,23,78,316,6,*,*,*,*,400,400
Precinct,24,66,357,*,*,*,*,*,423,423
Precinct,25,68,371,*,*,*,*,*,439,439
Precinct,26,71,427,*,*,*,*,*,498,498
Precinct,27,77,573,*,*,*,*,*,650,650
Precinct,28,71,276,*,*,*,*,*,347,347
Precinct,29,99,419,*,*,*,*,*,518,518
Precinct,30,67,244,*,*,*,*,*,311,311
Precinct,31,125,409,*,*,*,*,*,534,534
Precinct,32,94,345,*,*,*,*,*,439,439
Precinct,33,107,358,5,*,*,*,*,470,470
Precinct,34,56,121,*,*,*,*,*,177,177
Precinct,35,56,146,*,*,*,*,*,202,202
Precinct,36,107,251,*,*,*,*,*,358,358
Precinct,37,68,412,*,*,*,*,*,480,480
Precinct,38,63,315,*,*,*,*,*,378,378
Precinct,39,39,283,*,*,*,*,*,322,322
Precinct,40,105,363,5,*,*,*,*,473,473
Precinct,41,119,377,*,*,*,*,*,496,496
Precinct,42,71,356,*,*,*,*,*,427,427
Precinct,43,128,452,7,*,*,*,*,587,587
Precinct,44,88,308,7,5,*,*,*,408,408
Precinct,50,18,142,*,*,*,*,*,160,160
Precinct,51,70,139,*,*,*,*,*,209,209
Precinct,52,68,184,*,*,*,*,*,252,252
Precinct,53,135,155,*,*,*,*,*,290,290
Precinct,54,57,163,*,*,*,*,*,220,220
Precinct,55,50,117,*,*,*,*,*,167,167
Precinct,56,31,314,*,*,*,*,*,345,345
Precinct,57,61,481,*,*,*,*,*,542,542
Precinct,58,90,58,*,*,*,*,*,148,148
Precinct,59,30,49,*,*,*,*,*,79,79
Precinct,61,115,248,*,*,*,*,*,363,363
Precinct,62,26,217,*,*,*,*,*,243,243
Precinct,71,80,436,*,*,*,*,*,516,516
Precinct,72,75,549,8,*,*,*,*,632,632
Precinct,73,62,378,*,*,*,*,*,440,440
Precinct,74,26,244,*,*,*,*,*,270,270
Precinct,Voter Privacy,1,0,87,26,42,29,17,202,202
County,Lincoln,3033,6942,89,32,48,16,5,10165,10165
Precinct,1,42,175,*,*,*,*,*,217,217
Precinct,2,98,110,*,*,*,*,*,208,208
Precinct,3,121,363,6,*,*,*,*,490,490
Precinct,4,124,313,5,*,*,*,*,442,442
Precinct,5,104,313,*,*,*,*,*,417,417
Precinct,6,248,449,7,*,*,*,*,704,704
Precinct,7,145,271,*,*,*,*,*,416,416
Precinct,8,89,184,*,*,*,*,*,273,273
Precinct,9,157,271,8,*,*,*,*,436,436
Precinct,10,79,149,*,*,*,*,*,228,228
Precinct,11,183,336,6,*,*,*,*,525,525
Precinct,12,83,272,*,*,*,*,*,355,355
Precinct,13,137,205,5,*,*,*,*,347,347
Precinct,14,126,420,*,*,*,*,*,546,546
Precinct,15,48,195,*,*,*,*,*,243,243
Precinct,16,50,83,*,*,*,*,*,133,133
Precinct,17,63,290,*,*,*,*,*,353,353
Precinct,18,71,102,*,*,*,*,*,173,173
Precinct,19,41,172,*,*,*,*,*,213,213
Precinct,20,79,172,*,*,5,*,*,256,256
Precinct,21,185,365,*,*,6,*,*,556,556
Precinct,22,50,113,*,*,*,*,*,163,163
Precinct,23,33,127,*,*,*,*,*,160,160
Precinct,24,138,214,*,*,*,*,*,352,352
Precinct,25,191,263,5,*,*,*,*,459,459
Precinct,26,164,467,7,*,7,*,*,645,645
Precinct,27,33,166,*,*,*,*,*,199,199
Precinct,28,8,84,*,*,*,*,*,92,92
Precinct,29,143,298,*,5,5,*,*,451,451
Precinct,Voter Privacy,0,0,40,27,25,16,5,113,113
County,Los Alamos,7726,4047,121,70,175,21,27,12187,12187
Precinct,1,407,229,*,*,7,*,*,643,643
Precinct,2,315,240,*,*,10,*,*,565,565
Precinct,3,304,188,*,*,5,*,*,497,497
Precinct,4,275,171,5,*,6,*,*,457,457
Precinct,5,242,167,5,*,12,*,*,426,426
Precinct,6,195,113,*,*,6,*,*,314,314
Precinct,7,327,223,9,*,7,*,*,566,566
Precinct,8,353,192,9,*,11,*,*,565,565
Precinct,9,398,231,8,*,15,*,*,652,652
Precinct,10,334,120,7,6,7,*,*,474,474
Precinct,11,345,188,5,*,9,*,*,547,547
Precinct,12,130,84,*,*,*,*,*,214,214
Precinct,13,377,260,14,*,13,*,*,664,664
Precinct,14,414,183,5,*,5,*,*,607,607
Precinct,15,366,152,*,*,10,*,*,528,528
Precinct,16,428,216,*,*,5,*,*,649,649
Precinct,17,453,181,7,*,18,*,*,659,659
Precinct,18,238,94,*,*,6,*,*,338,338
Precinct,19,331,130,*,9,*,*,*,470,470
Precinct,20,247,93,*,*,*,*,*,340,340
Precinct,21,347,151,*,*,*,*,*,498,498
Precinct,22,469,217,12,10,7,*,*,715,715
Precinct,23,431,224,5,*,8,*,*,668,668
Precinct,Voter Privacy,0,0,30,45,8,21,27,131,131
County,Luna,3176,4698,96,29,28,20,9,8056,8056
Precinct,1,90,145,*,*,*,*,*,235,235
Precinct,2,194,384,12,*,*,*,*,590,590
Precinct,3,178,283,*,*,*,*,*,461,461
Precinct,4,241,241,*,*,*,*,*,482,482
Precinct,5,156,250,*,*,*,*,*,406,406
Precinct,6,247,263,9,*,*,*,*,519,519
Precinct,7,187,229,10,*,*,*,*,426,426
Precinct,8,258,243,5,*,*,*,*,506,506
Precinct,9,234,299,*,*,*,*,*,533,533
Precinct,10,113,244,5,*,*,*,*,362,362
Precinct,11,197,218,9,*,*,*,*,424,424
Precinct,12,246,288,6,*,*,*,*,540,540
Precinct,13,208,432,6,*,6,*,*,652,652
Precinct,14,229,373,9,*,*,*,*,611,611
Precinct,15,48,73,*,*,*,*,*,121,121
Precinct,16,143,324,*,*,*,*,*,467,467
Precinct,17,134,212,*,*,*,*,*,346,346
Precinct,18,73,197,5,*,*,*,*,275,275
Precinct,Voter Privacy,0,0,20,29,22,20,9,100,100
County,McKinley,15711,9364,501,104,69,72,46,25867,25867
Precinct,1,381,133,10,*,*,*,*,524,524
Precinct,2,123,79,9,*,*,*,*,211,211
Precinct,3,87,29,*,*,*,*,*,116,116
Precinct,4,287,116,8,*,*,*,*,411,411
Precinct,5,452,166,12,*,*,*,*,630,630
Precinct,6,404,179,16,*,*,*,*,599,599
Precinct,7,437,147,6,*,*,*,*,590,590
Precinct,8,206,69,*,*,*,*,*,275,275
Precinct,9,374,166,11,*,*,*,*,551,551
Precinct,10,376,107,8,*,*,*,*,491,491
Precinct,11,79,72,6,*,*,*,*,157,157
Precinct,12,39,22,*,*,*,*,*,61,61
Precinct,13,112,106,6,*,*,*,*,224,224
Precinct,14,285,309,22,*,*,*,*,616,616
Precinct,15,222,185,5,*,*,*,*,412,412
Precinct,16,260,222,10,*,*,*,*,492,492
Precinct,17,270,319,13,*,*,*,*,602,602
Precinct,18,106,47,*,*,*,*,*,153,153
Precinct,19,451,252,20,*,*,*,*,723,723
Precinct,20,373,261,15,*,*,*,*,649,649
Precinct,21,294,186,13,*,*,*,*,493,493
Precinct,22,153,112,7,*,*,*,*,272,272
Precinct,23,317,198,12,*,*,*,*,527,527
Precinct,24,325,208,12,*,*,*,*,545,545
Precinct,25,279,173,17,*,*,*,*,469,469
Precinct,26,128,230,5,*,*,*,*,363,363
Precinct,27,361,23,*,*,*,*,*,384,384
Precinct,28,345,43,*,*,*,*,*,388,388
Precinct,29,420,44,8,*,*,*,*,472,472
Precinct,30,324,52,13,*,*,*,*,389,389
Precinct,31,259,208,10,*,*,*,*,477,477
Precinct,32,133,83,*,*,*,*,*,216,216
Precinct,33,327,219,10,*,*,*,*,556,556
Precinct,34,132,94,5,*,*,*,*,231,231
Precinct,35,145,117,*,5,*,*,*,267,267
Precinct,36,72,28,*,*,*,*,*,100,100
Precinct,37,71,42,*,*,*,*,*,113,113
Precinct,38,119,106,*,*,*,*,*,225,225
Precinct,39,178,146,11,*,*,*,*,335,335
Precinct,40,113,93,*,*,*,*,*,206,206
Precinct,41,218,158,*,*,*,*,*,376,376
Precinct,42,94,78,*,*,*,*,*,172,172
Precinct,43,318,295,8,6,*,*,*,627,627
Precinct,44,124,137,5,*,*,*,*,266,266
Precinct,45,181,195,6,*,*,*,*,382,382
Precinct,46,204,215,5,*,*,*,*,424,424
Precinct,47,123,84,*,*,*,*,*,207,207
Precinct,48,259,169,6,*,*,*,*,434,434
Precinct,49,177,141,*,*,*,*,*,318,318
Precinct,50,62,78,5,*,*,*,*,145,145
Precinct,51,165,97,8,*,*,*,*,270,270
Precinct,52,73,122,*,*,*,*,*,195,195
Precinct,53,318,140,7,*,*,*,*,465,465
Precinct,54,325,252,6,*,*,*,*,583,583
Precinct,55,251,112,5,*,*,*,*,368,368
Precinct,56,191,214,5,*,*,*,*,410,410
Precinct,57,217,136,12,*,*,*,*,365,365
Precinct,58,258,228,*,*,*,*,*,486,486
Precinct,59,99,84,*,5,*,*,*,188,188
Precinct,60,130,70,*,*,*,*,*,200,200
Precinct,61,132,57,5,*,*,*,*,194,194
Precinct,62,129,81,7,*,*,*,*,217,217
Precinct,63,177,138,10,*,*,*,*,325,325
Precinct,64,400,54,*,*,*,*,*,454,454
Precinct,65,203,176,17,5,*,*,*,401,401
Precinct,66,336,36,7,*,*,*,*,379,379
Precinct,67,72,15,*,*,*,*,*,87,87
Precinct,68,201,83,14,*,*,*,*,298,298
Precinct,69,126,109,*,*,*,*,*,235,235
Precinct,70,266,166,6,*,*,*,*,438,438
Precinct,71,63,53,5,*,*,*,*,121,121
Precinct,Voter Privacy,0,0,52,83,69,72,46,322,322
County,Mora,1439,1010,17,6,7,4,4,2487,2487
Precinct,1,266,186,*,*,*,*,*,452,452
Precinct,2,262,152,*,*,*,*,*,414,414
Precinct,3,129,132,*,*,*,*,*,261,261
Precinct,4,127,82,*,*,*,*,*,209,209
Precinct,5,150,71,*,*,*,*,*,221,221
Precinct,6,62,58,*,*,*,*,*,120,120
Precinct,7,86,65,*,*,*,*,*,151,151
Precinct,8,140,101,*,*,*,*,*,241,241
Precinct,9,46,39,*,*,*,*,*,85,85
Precinct,10,74,60,*,*,*,*,*,134,134
Precinct,11,97,64,*,*,*,*,*,161,161
Precinct,Voter Privacy,0,0,17,6,7,4,4,38,38
County,Otero,8582,15117,299,87,104,35,18,24242,24242
Precinct,1,70,84,*,*,*,*,*,154,154
Precinct,2,*,20,*,*,*,*,*,20,20
Precinct,3,*,25,*,*,*,*,*,25,25
Precinct,4,*,55,*,*,*,*,*,55,55
Precinct,5,52,211,*,*,*,*,*,263,263
Precinct,6,12,117,*,*,*,*,*,129,129
Precinct,7,36,227,*,*,5,*,*,268,268
Precinct,8,221,462,7,*,*,*,*,690,690
Precinct,9,170,399,6,*,*,*,*,575,575
Precinct,10,112,372,*,*,*,*,*,484,484
Precinct,11,231,99,6,*,*,*,*,336,336
Precinct,12,230,513,10,*,*,*,*,753,753
Precinct,13,215,294,11,*,*,*,*,520,520
Precinct,14,174,251,*,*,*,*,*,425,425
Precinct,15,132,436,6,*,5,*,*,579,579
Precinct,16,55,95,*,*,*,*,*,150,150
Precinct,17,159,318,6,*,*,*,*,483,483
Precinct,18,91,273,*,*,*,*,*,364,364
Precinct,19,126,84,*,*,*,*,*,210,210
Precinct,20,105,94,*,*,*,*,*,199,199
Precinct,21,170,399,*,*,6,*,*,575,575
Precinct,22,120,163,*,*,*,*,*,283,283
Precinct,23,143,207,*,*,*,*,*,350,350
Precinct,24,193,339,5,*,*,*,*,537,537
Precinct,25,171,343,7,*,*,*,*,521,521
Precinct,26,175,227,8,*,*,*,*,410,410
Precinct,27,194,318,*,*,*,*,*,512,512
Precinct,28,74,236,7,*,*,*,*,317,317
Precinct,29,164,262,*,*,*,*,*,426,426
Precinct,30,137,200,5,*,*,*,*,342,342
Precinct,31,137,158,12,*,*,*,*,307,307
Precinct,32,177,156,*,*,*,*,*,333,333
Precinct,33,199,199,10,*,*,*,*,408,408
Precinct,34,109,203,*,*,*,*,*,312,312
Precinct,35,112,294,6,*,*,*,*,412,412
Precinct,36,308,447,7,*,*,*,*,762,762
Precinct,37,149,213,8,*,*,*,*,370,370
Precinct,38,50,86,*,*,*,*,*,136,136
Precinct,39,168,327,7,*,*,*,*,502,502
Precinct,40,150,289,*,*,*,*,*,439,439
Precinct,41,95,104,*,*,*,*,*,199,199
Precinct,42,147,148,6,*,*,*,*,301,301
Precinct,43,68,61,*,*,*,*,*,129,129
Precinct,44,131,104,*,*,*,*,*,235,235
Precinct,45,85,82,*,*,*,*,*,167,167
Precinct,46,122,97,*,*,*,*,*,219,219
Precinct,47,171,179,*,*,*,*,*,350,350
Precinct,48,222,279,8,*,*,*,*,509,509
Precinct,49,206,502,8,*,*,*,*,716,716
Precinct,50,193,189,10,*,*,*,*,392,392
Precinct,51,215,343,7,6,*,*,*,571,571
Precinct,52,122,307,6,*,*,*,*,435,435
Precinct,53,137,282,*,*,*,*,*,419,419
Precinct,54,126,331,*,*,*,*,*,457,457
Precinct,55,104,459,8,*,*,*,*,571,571
Precinct,56,198,108,8,*,*,*,*,314,314
Precinct,57,138,424,6,*,*,*,*,568,568
Precinct,58,8,52,*,*,*,*,*,60,60
Precinct,59,88,182,*,*,*,*,*,270,270
Precinct,60,82,250,7,*,*,*,*,339,339
Precinct,61,106,198,*,*,*,*,*,304,304
Precinct,62,154,289,5,*,*,*,*,448,448
Precinct,63,113,221,*,*,*,*,*,334,334
Precinct,64,114,139,6,*,*,*,*,259,259
Precinct,65,125,256,*,*,6,*,*,387,387
Precinct,66,15,36,*,*,*,*,*,51,51
Precinct,Voter Privacy,6,0,80,81,82,35,18,302,302
County,Quay,1055,2570,51,8,8,4,8,3704,3704
Precinct,1,7,102,*,*,*,*,*,109,109
Precinct,2,*,60,*,*,*,*,*,60,60
Precinct,3,40,196,*,*,*,*,*,236,236
Precinct,4,*,70,*,*,*,*,*,70,70
Precinct,5,92,575,10,*,*,*,*,677,677
Precinct,6,59,264,*,*,*,*,*,323,323
Precinct,7,202,180,9,*,*,*,*,391,391
Precinct,8,71,120,*,*,*,*,*,191,191
Precinct,9,197,290,11,*,*,*,*,498,498
Precinct,10,109,112,5,*,*,*,*,226,226
Precinct,11,175,357,*,*,*,*,*,532,532
Precinct,12,96,244,*,*,*,*,*,340,340
Precinct,Voter Privacy,7,0,16,8,8,4,8,51,51
County,Rio Arriba,9373,6268,178,80,29,50,11,15989,15989
Precinct,1,348,136,11,*,*,*,*,495,495
Precinct,2,198,74,7,*,*,*,*,279,279
Precinct,3,51,35,*,*,*,*,*,86,86
Precinct,4,308,321,7,*,*,*,*,636,636
Precinct,5,*,*,*,*,*,*,*,0,0
Precinct,10,135,129,*,*,*,*,*,264,264
Precinct,11,184,206,5,*,*,*,*,395,395
Precinct,12,37,28,*,*,*,*,*,65,65
Precinct,13,50,22,*,*,*,*,*,72,72
Precinct,14,20,8,*,*,*,*,*,28,28
Precinct,21,9,7,*,*,*,*,*,16,16
Precinct,22,30,113,*,*,*,*,*,143,143
Precinct,23,49,116,*,*,*,*,*,165,165
Precinct,24,112,108,*,*,*,*,*,220,220
Precinct,25,104,88,*,*,*,*,*,192,192
Precinct,26,301,149,5,9,*,*,*,464,464
Precinct,27,323,137,*,*,*,*,*,460,460
Precinct,28,70,56,*,*,*,*,*,126,126
Precinct,35,27,26,*,*,*,*,*,53,53
Precinct,36,212,270,*,*,*,*,*,482,482
Precinct,37,271,248,*,*,*,*,*,519,519
Precinct,38,462,304,9,10,*,*,*,785,785
Precinct,39,156,121,*,*,*,*,*,277,277
Precinct,40,106,71,*,*,*,*,*,177,177
Precinct,45,284,193,*,*,*,*,*,477,477
Precinct,46,76,53,*,*,*,*,*,129,129
Precinct,47,156,94,*,*,*,*,*,250,250
Precinct,48,313,98,*,11,*,*,*,422,422
Precinct,49,129,31,5,*,*,*,*,165,165
Precinct,56,254,130,*,*,*,*,*,384,384
Precinct,57,356,186,*,*,*,*,*,542,542
Precinct,58,187,155,7,*,*,*,*,349,349
Precinct,59,437,114,5,*,*,*,*,556,556
Precinct,60,390,94,8,*,*,*,*,492,492
Precinct,61,157,115,*,*,*,*,*,272,272
Precinct,62,121,83,*,*,*,*,*,204,204
Precinct,63,349,232,14,*,*,*,*,595,595
Precinct,64,287,224,5,*,*,*,*,516,516
Precinct,65,301,161,5,*,*,*,*,467,467
Precinct,66,191,181,5,*,*,*,*,377,377
Precinct,67,267,247,6,*,*,*,*,520,520
Precinct,68,243,189,*,*,*,*,*,432,432
Precinct,69,405,305,*,*,*,*,*,710,710
Precinct,70,328,299,*,*,*,*,*,627,627
Precinct,71,231,120,5,*,*,*,*,356,356
Precinct,72,81,57,*,*,*,*,*,138,138
Precinct,73,165,104,*,*,*,*,*,269,269
Precinct,74,101,28,*,*,*,*,*,129,129
Precinct,Voter Privacy,1,2,69,50,29,50,11,212,212
County,Roosevelt,1820,4687,68,14,30,14,6,6639,6639
Precinct,1,100,203,*,*,*,*,*,303,303
Precinct,2,136,362,*,*,*,*,*,498,498
Precinct,3,5,45,*,*,*,*,*,50,50
Precinct,4,22,207,*,*,*,*,*,229,229
Precinct,5,16,189,*,*,*,*,*,205,205
Precinct,6,15,242,*,*,*,*,*,257,257
Precinct,7,75,106,*,*,*,*,*,181,181
Precinct,8,184,160,7,*,*,*,*,351,351
Precinct,9,141,268,*,*,*,*,*,409,409
Precinct,10,102,183,*,*,*,*,*,285,285
Precinct,11,63,234,*,*,*,*,*,297,297
Precinct,12,160,236,5,*,*,*,*,401,401
Precinct,13,63,89,*,*,*,*,*,152,152
Precinct,14,175,297,*,*,5,*,*,477,477
Precinct,15,68,151,*,*,5,*,*,224,224
Precinct,16,60,119,*,*,*,*,*,179,179
Precinct,17,67,301,*,*,*,*,*,368,368
Precinct,18,73,390,8,*,*,*,*,471,471
Precinct,19,87,316,*,*,*,*,*,403,403
Precinct,20,102,302,*,*,*,*,*,404,404
Precinct,21,106,287,8,*,*,*,*,401,401
Precinct,Voter Privacy,0,0,40,14,20,14,6,94,94
County,San Juan,17464,34264,746,125,192,71,64,52926,52926
Precinct,1,356,196,5,*,*,*,*,557,557
Precinct,2,430,176,14,*,*,*,*,620,620
Precinct,3,341,215,14,*,*,*,*,570,570
Precinct,4,434,218,21,*,*,*,*,673,673
Precinct,5,377,230,23,*,*,*,*,630,630
Precinct,6,156,105,5,*,*,*,*,266,266
Precinct,7,202,68,8,*,*,*,*,278,278
Precinct,8,252,123,11,*,*,*,*,386,386
Precinct,9,146,42,*,*,*,*,*,188,188
Precinct,10,263,109,11,*,*,*,*,383,383
Precinct,11,202,132,13,*,*,*,*,347,347
Precinct,12,182,81,13,*,*,*,*,276,276
Precinct,13,378,114,13,*,*,*,*,505,505
Precinct,14,127,56,5,*,*,*,*,188,188
Precinct,15,152,163,*,*,*,*,*,315,315
Precinct,16,248,295,22,*,*,*,*,565,565
Precinct,17,75,59,*,*,*,*,*,134,134
Precinct,18,276,340,32,*,*,*,*,648,648
Precinct,19,117,100,6,*,*,*,*,223,223
Precinct,20,266,243,*,*,*,*,*,509,509
Precinct,21,233,460,12,*,6,*,*,711,711
Precinct,22,270,388,15,*,*,*,*,673,673
Precinct,23,202,406,10,*,*,*,*,618,618
Precinct,24,111,285,*,*,*,*,*,396,396
Precinct,25,145,374,7,*,*,*,*,526,526
Precinct,26,173,266,5,*,*,*,*,444,444
Precinct,27,285,413,10,*,*,*,*,708,708
Precinct,28,154,346,8,*,*,*,*,508,508
Precinct,29,149,206,*,*,*,*,*,355,355
Precinct,30,192,561,10,*,*,*,*,763,763
Precinct,31,99,314,*,*,*,*,*,413,413
Precinct,32,101,187,*,*,*,*,*,288,288
Precinct,33,190,350,6,*,*,*,*,546,546
Precinct,34,160,248,*,*,*,*,*,408,408
Precinct,35,146,271,*,*,*,*,*,417,417
Precinct,36,123,308,*,*,*,*,*,431,431
Precinct,37,142,302,*,*,*,*,*,444,444
Precinct,38,220,547,14,*,*,*,*,781,781
Precinct,39,199,550,11,*,*,*,*,760,760
Precinct,40,201,421,5,*,*,*,*,627,627
Precinct,41,156,557,*,6,*,*,*,719,719
Precinct,42,142,542,9,*,*,*,*,693,693
Precinct,43,157,387,*,*,*,*,*,544,544
Precinct,44,194,453,7,*,*,*,*,654,654
Precinct,45,224,448,5,*,*,*,*,677,677
Precinct,46,172,503,9,*,*,*,*,684,684
Precinct,47,115,381,*,*,5,*,*,501,501
Precinct,48,81,313,*,*,*,*,*,394,394
Precinct,49,188,542,8,*,*,*,*,738,738
Precinct,50,263,499,14,*,6,*,*,782,782
Precinct,51,196,436,*,*,*,*,*,632,632
Precinct,52,75,268,5,*,*,*,*,348,348
