state,lane,audit_collection_status,row_level,capture_status,existing_local_files,captured_files,next_step
NC,direct-official-target,official_precinct_source_identified,precinct sort,data captured,data/nc-2024-general-enr-results.zip (466320 bytes),data/nc-2024-general-results-precinct.zip; data/review-sources/nc-historical-election-results-data.html,Download official precinct-sort data and map President plus a statewide comparison contest.
NE,source-discovery-needed,state_or_county_source_needed,unknown/county-local,already present or needs parser/source discovery,data/ne-2024-general-canvass-book.pdf (3223182 bytes),,Search Nebraska SOS and county election offices for precinct-level 2024 general result files.
NH,review-needed,official_town_source_needed,town,already present or needs parser/source discovery,data/nh-2024-president-county-summary.pdf (17861 bytes),,Locate official SOS town-level general-election result files for President and a comparison contest.
NJ,county-local-needed,county_local_required,county-local precinct/municipality,already present or needs parser/source discovery,data/nj-2024-official-general-results-president.pdf (97746 bytes),,Collect county official precinct/municipal result files; state official PDF is county-level.
NM,already-local-row-source,local_row_source_collected,precinct in Civera CSV,already present or needs parser/source discovery,data/nm-2024-president-county-results.csv (88297 bytes),,Map Civera precinct rows and collect a same-grain comparison contest export.
NV,county-local-needed,county_local_or_archive_required,unknown/county-local,already present or needs parser/source discovery,data/nv-2024-official-statewide-general-election-results.html (145670 bytes),,Search Nevada SOS/county election offices or archived SOS downloads for precinct-level 2024 general data.
NY,county-local-needed,county_local_required,county-local precinct/election district,already present or needs parser/source discovery,data/ny-2024-president-results-by-county.csv (5608 bytes),,Collect county board precinct/election-district result files; NYS export currently loaded is county-level.
OH,direct-official-target,official_precinct_source_identified,precinct,data captured,data/oh-2024-statewide-race-summary.xlsx (259601 bytes),data/oh-2024-statewide-races-precinct-level.xlsx,Download or archive-fetch the official workbook and map President plus Senate.
OK,portal-capture,official_portal_identified_needs_capture,unknown OKER detail,source page captured,data/ok-2024-general-enr-results.zip (174695 bytes),data/review-sources/ok-official-review-source.html; data/review-sources/ok-config.json; data/review-sources/ok-main-bundle.js; data/review-sources/ok-browser-snapshot.html; data/review-sources/ok-official-review-source.html,Inspect OKER static files for precinct/detail results beyond county ENR payloads.
OR,review-needed,official_export_needs_precinct_parameters,unknown export grain,data captured,data/or-2024-president-county-mapdata.json (182863 bytes),data/or-2024-general-federal-results-precinct.xlsx; data/review-sources/or-official-review-source.html,Inspect Oregon ResultsExport/API parameters for precinct-level President and comparison contest rows.
RI,already-local-row-source,local_row_source_collected,precinct,already present or needs parser/source discovery,data/ri-2024-general-election-summary.xlsx (1128000 bytes),,Map Candidate_Breakout precinct rows to a comparison contest.
SC,portal-capture,official_portal_identified_needs_capture,unknown ENR detail,data captured,data/sc-2024-general-election-details.json (55654 bytes),data/review-sources/sc-official-review-source.html; data/review-sources/sc-2024-general-detailxml.zip; data/review-sources/sc-electionhistory-president-page.html; data/review-sources/sc-2024-president-electionhistory-table.csv; data/review-sources/sc-official-review-source.html,Inspect ENR static JSON for precinct/detail records or collect county reports.
SD,source-discovery-needed,state_or_county_source_needed,unknown,already present or needs parser/source discovery,data/sd-2024-general-election-canvass-with-cert.pdf (801624 bytes),,Search South Dakota SOS and county auditor files for precinct-level 2024 general returns.
TN,already-local-row-source,local_row_source_collected,precinct,already present or needs parser/source discovery,data/tn-2024-general-all-by-precinct.xlsx (1015612 bytes),,Map President and a down-ballot contest from the all-by-precinct workbook.
TX,county-local-needed,county_local_required,county-local precinct,already present or needs parser/source discovery,data/tx-2024-general-county.json (1818450 bytes),,Collect county official precinct returns; statewide SOS data currently loaded is county-level.
UT,county-local-needed,county_local_or_clarity_required,county-local precinct,already present or needs parser/source discovery,data/ut-2024-general-statewide-canvass.pdf (3087129 bytes),,Collect county Clarity exports or county official precinct reports for President and comparison contests.
VA,already-local-row-source,local_row_source_collected,precinct/locality,already present or needs parser/source discovery,data/va-2024-president-results.csv (148282 bytes),,Map precinct rows and collect/map a same-grain comparison contest export.
VT,already-local-row-source,local_row_source_collected,municipality,already present or needs parser/source discovery,data/vt-2024-president-municipality-results.csv (11742 bytes),,Collect/map a same-municipality statewide down-ballot contest.
WA,county-local-needed,county_local_required,county-local precinct,data captured,data/wa-2024-president-county-results.html (177283 bytes),data/review-sources/wa-export-results.html; data/wa-2024-general-all-state-precincts.csv; data/wa-2024-general-congressional.csv; data/wa-2024-general-all-state.csv; data/review-sources/wa-official-review-source.html,Collect county official precinct result files; SOS page currently loaded is county-level.
WV,portal-capture,official_portal_identified_needs_capture,unknown ENR detail,data captured,data/wv-2024-general-election-details.json (53299 bytes),data/review-sources/wv-official-review-source.html; data/review-sources/wv-2024-general-detailxml.zip; data/review-sources/wv-sos-historical-results-page.html; data/review-sources/wv-monongalia-previous-elections-page.html; data/review-sources/wv-monongalia-2024-general-precinct-summary.csv; data/review-sources/wv-wood-2024-general-precinct-results.pdf; data/review-sources/wv-official-review-source.html,Inspect Clarity ENR static files for precinct/detail records or collect county files.
WY,already-local-row-source,local_row_source_collected,precinct-by-precinct workbooks,already present or needs parser/source discovery,data/wy-2024-general-results.zip (771175 bytes),,Map county precinct-by-precinct workbooks inside the official ZIP to President plus comparison contest rows.
