state,source_priority,authority,source_title,source_url,source_level,has_ballots_cast,has_registered_voters,has_eligible_voters,has_vote_method,vote_method_fields,denominator_timing,format,parser_fit,status,confidence,caveats,checked_at
MD,1,Maryland State Board of Elections,Official Turnout by Party and County for the 2024 Presidential General Election,https://www.elections.state.md.us/press_room/2024_stats/PG24/Official%20by%20Party%20and%20County.pdf,county,true,false,true,true,Election Day; early voting; vote by mail; provisional,final,pdf,loaded: marylandTurnoutPdf,loaded,high,"App imports official county turnout rows from the SBE PDF with Election Day, early voting, vote-by-mail, and provisional counts. Rows are warning-labeled because the denominator is eligible voters rather than registered voters.",2026-06-08
ME,1,Maine Secretary of State,Statewide Registered and Enrolled Data File plus 2024 general election results,https://www.maine.gov/sos/elections-voting/voter-data/statewide-registered-and-enrolled-voter,county join from municipality/voting district registration and county result totals,true,true,false,false,,final,csv/xlsx plus results export,loaded: maineRegistrationTextJoin,loaded,high,"App imports 16 county turnout rows by joining official active registered/enrolled voter counts as of November 5, 2024 to the official corrected presidential workbook TBC county totals. Rows are warning-labeled because this is a county-level join rather than precinct-level turnout.",2026-06-08
MI,1,Michigan Secretary of State,MVIC Voter Turnout Data export plus 2024 Voter Registration Totals PDF,https://mvic.sos.state.mi.us/votehistory/Index?type=C&electionDate=11-5-2024,county,true,true,false,false,,final,browser-protected txt plus pdf,loaded: michiganMvicCountyTurnout,loaded,high,App already joins official MVIC turnout export to SOS registration totals; source requires browser-backed download.,2026-06-08
MN,1,Minnesota Secretary of State,2024 General Federal/State Results by Precinct,https://www.sos.mn.gov/media/yt3llxwd/2024-general-federal-state-results-by-precinct-official.xlsx,precinct,true,true,false,true,REG7AM; EDR; signatures; AB_MB; TOTVOTING,final,xlsx,loaded: xlsxPrecinctRows,loaded,high,App already imports precinct turnout using REG7AM plus EDR as denominator and TOTVOTING as ballots cast.,2026-06-08
MO,1,Missouri Secretary of State,State of Missouri General Election 2024 Voter Turnout Report,https://www.sos.mo.gov/CMSImages/ElectionResultsStatistics/Nov2024OfficialVoterTurnout.pdf,county,true,true,false,false,,final,pdf,loaded: missouriVoterTurnoutPdf,loaded,high,"App imports county registered voters, active voters, inactive voters, actual voters, and turnout percentage; Kansas City is merged into Jackson County for county-geometry alignment.",2026-06-08
MS,1,Mississippi Secretary of State,2024 General Election Certified Results / County Recapitulation Report,https://sos.ms.gov/elections/electionresults_aspx/elections_results_2024_general.aspx,county,true,false,false,false,,unknown,html/pdf links,source review before parser,source_needs_review,low,"Official results page is identified, but search did not confirm registered-voter denominator fields in the county recapitulation report.",2026-06-08
MT,1,Montana Secretary of State,2024 Statewide General Election Canvass voting information table,https://sosmt.gov/elections/results,county,true,true,false,false,,final,pdf,loaded: montanaCanvassPdf,loaded,high,App imports county turnout rows from the official SOS canvass voting information table; precinct-level denominator support is not loaded.,2026-06-08
NC,1,North Carolina State Board of Elections,2024 General Election Turnout history_stats and voter_stats,https://s3.amazonaws.com/dl.ncsbe.gov/ENRS/2024_11_05/history_stats_20241105.zip,precinct/VTD,true,true,false,true,early voting; absentee by mail; Election Day; provisional,preElectionDay,tab-delimited zipped text join,loaded: northCarolinaVoterHistoryJoin,loaded,high,"App joins official history_stats_20241105.zip to voter_stats_20241105.zip by county, precinct, and VTD. All rows are warning-labeled because voter_stats is a Nov. 5 registration snapshot.",2026-06-08
ND,1,North Dakota Secretary of State,2024 General Election Voter Turnout Details,https://results.sos.nd.gov/VoterTurnoutDetails.aspx,county,true,true,false,false,,final,html,loaded: northDakotaTurnoutHtml,loaded,high,App already imports county turnout rows from official SOS turnout detail page.,2026-06-08
NE,1,Nebraska Secretary of State,2024 General Canvass Book Voting Statistics,https://sos.nebraska.gov/sites/default/files/doc/elections/2024/2024%20General%20Canvass%20Book.pdf,county,true,true,false,true,early voting; Election Day; provisional; absentee; federal,final,pdf,loaded: nebraskaCanvassPdf,loaded,high,App joins the canvass Voting Statistics registered-voter table to the Total Voting by Method table by county.,2026-06-08
NH,1,New Hampshire Secretary of State,2024 General Election Ballots Cast and Names on Checklist,https://www.sos.nh.gov/2024-general-election-results,statewide,true,true,false,false,,final,statewideTurnoutCsv,loaded: statewideTurnoutCsv; direct Excel capture remains a follow-up for county/town rows,loaded_statewide_only,medium,"Loaded as a statewide-only warning row. The official SOS page lists Ballots Cast and Names on Checklist Excel sources, but the direct SOS Excel endpoint remains browser-protected in this environment.",2026-06-08
NJ,1,New Jersey Division of Elections,2024 Official General Voter Turnout,https://www.nj.gov/state/elections/assets/pdf/election-results/2024/2024-official-general-voter-turnout.pdf,county,true,true,false,false,,final,pdf,loaded: newJerseyTurnoutPdf,loaded,high,"Official PDF gives registered voters, ballots cast, rejected ballots, and election district count by county.",2026-06-08
NM,1,New Mexico Secretary of State,2024 General Election Statewide Voter Turnout,https://electionresults.sos.nm.gov/Default.aspx?eid=2882,statewide,true,false,true,false,,final,html dashboard normalized to csv,loaded: statewideTurnoutCsv,loaded_statewide_only,high,App imports one statewide warning row using the source's Eligible Voters denominator rather than registered voters; county-level denominator export remains a follow-up.,2026-06-08
NV,1,Nevada Secretary of State,2024 Turnout Reporting,https://nvsos.gov/sos/elections/election-information/2024-election-information/2024-turnout-reporting,county/state,true,true,false,true,early voting; mail; Election Day where final turnout reports expose them,final,linked pdf/xlsx,download final official turnout file,usable_candidate,medium,"Search result came through a UAT host, but the path identifies the SOS 2024 Turnout Reporting page; verify production URL and final file link.",2026-06-08
NY,1,New York State Board of Elections,Voters Registered by County as of 11/01/2024 plus certified general results,https://elections.ny.gov/enrollment-county,county,true,true,false,false,,preElectionDay,xlsx/csv plus results export,join enrollment county file to certified county results,usable_candidate,medium,Enrollment file provides denominator; ballots-cast totals must be joined from certified result/source already loaded for county results.,2026-06-08
OH,1,Ohio Secretary of State,"November 5, 2024 General Election Official Canvass - Statewide Races Precinct-Level Workbook",https://www.ohiosos.gov/globalassets/elections/2024/gen/official/statewide-races-precinct-level.xlsx,precinct,true,true,false,false,,final,xlsx,loaded: ohioPrecinctTurnoutXlsx,loaded,high,"App imports 8,878 official precinct rows from the President and Vice President sheet and validates registered-voter and ballots-counted totals against the workbook Total row.",2026-06-08
OK,1,Oklahoma State Election Board,2024 General Election ENR results plus November 1 voter registration by county,https://oklahoma.gov/elections/newsroom/2024/november/oklahoma-voter-registration-numbers-surpass-2-4-million-ahead-of.html,county,true,true,false,false,,preElectionDay,json plus pdf,loaded: oklahomaEnrRegistrationPdf,loaded,medium,App joins official OKER presidential race total votes and vote-method splits to the official November 1 county registration PDF; rows are warning-labeled because the denominator is pre-election and the numerator is presidential race votes.,2026-06-08
OR,1,Oregon Secretary of State Elections Division,2024 November General Election Official Voter Registration Statistics,https://records.sos.state.or.us/ORSOSWebDrawer/Recordhtml/13735459,county,true,true,false,false,,final,pdf,loaded: oregonRegistrationTurnoutPdf,loaded,high,"App imports county rows from the official Oregon SOS archive PDF. The county table column is labeled Eligible, but the statewide total matches the PDF's Total registered voters line; numerator is Ballots Returned.",2026-06-08
PA,1,Pennsylvania Department of State,2024 General Election Voter Registration Vote History Summary,https://www.pa.gov/agencies/dos/resources/voting-and-elections-resources/voting-and-election-statistics/election-data,county,true,true,false,false,,final,xlsx,loaded: pennsylvaniaVoteHistoryXlsx,loaded,high,App already imports county turnout rows from official vote-history/registration workbook.,2026-06-08
RI,1,Rhode Island Board of Elections,2024 General Election Summary workbook Reg_Voters and Ballots_Cast sheets,https://elections.ri.gov/elections/previous-election-results,precinct,true,true,false,true,Election Day; mail; early voting,final,xlsx,loaded: rhodeIslandSummaryXlsx,loaded,high,App joins official workbook precinct labels from Reg_Voters and Ballots_Cast; statewide federal reporting rows in the results source remain separate from county geometry.,2026-06-08
SC,1,South Carolina State Election Commission,2024 General Election ENR statewide presidential summary,https://www.enr-scvotes.org/SC/122436/web.345435/#/summary,statewide,true,true,false,false,,unknown,ENR/static json,loaded: southCarolinaEnrStatewideTurnout,loaded_statewide_only,high,"Loaded as one statewide warning row from ENR TV registered voters and BC ballots cast. County detail feed still lacks county registered-voter denominators, so county turnout remains a follow-up.",2026-06-08
SD,1,South Dakota Secretary of State,2024 General Election Returns,https://sdsos.gov/elections-voting/assets/2024%20Assets/Post-Election-Audit-General/ElectionReturns2024.pdf,county,true,true,false,false,,final,pdf,loaded: southDakotaElectionReturnsPdf,loaded,high,App imports county registered-voter and votes-cast rows from the official SOS Election Returns and Registration Figures PDF and validates the published statewide totals.,2026-06-08
TN,1,Tennessee Secretary of State Division of Elections,"Statistical Analysis of Voter Turnout for the November 5, 2024 Election",https://sos-prod.tnsosgovfiles.com/s3fs-public/document/2024%20November%20Turnout%20Report.pdf,county,true,true,false,true,early voters; absentee by mail voters,final,pdf,loaded: tennesseeTurnoutPdf,loaded,high,"App imports 95 official county turnout rows with registered voters, total votes cast, absentee by mail voters, and early voters from the linked November 5, 2024 turnout PDF.",2026-06-08
TX,1,Texas Secretary of State,Turnout and Voter Registration Figures (1970-current),https://www.sos.state.tx.us/elections/historical/70-92.shtml,statewide,true,true,false,false,,preElectionDay,html-derived csv,loaded: statewideTurnoutCsv,loaded_statewide_only,medium,App imports one statewide warning row from the official historical turnout table. County-level turnout denominator rows remain a follow-up before claiming county coverage.,2026-06-08
UT,1,Utah Lieutenant Governor / Vote.Utah.gov,2024 County Canvass Certifications and Results - November 2024 General Election,https://vote.utah.gov/county-canvass-certifications-and-results-november-2024-general-election/,county partial,true,true,false,false,,final,countyTurnoutCsv,loaded partial: countyTurnoutCsv from official county canvass PDFs,loaded_partial,medium,"Loaded 24 of 29 county rows from official county canvass PDFs. Davis, Duchesne, Sanpete, Uintah, and Wayne require manual/OCR follow-up because their PDFs did not expose extractable registered-voter and ballots-cast totals in this pass.",2026-06-08
VA,1,Virginia Department of Elections,Registration/Turnout Reports,https://www.elections.virginia.gov/resultsreports/registrationturnout-statistics/?lv=true,statewide,true,true,false,true,absenteeVoting,final,html table normalized to csv,loaded: statewideTurnoutCsv,loaded_statewide_only,high,"App imports one statewide warning row. The official summary includes total registered, total voting, turnout rate, and absentee voting included in total voting, but not locality-level denominators.",2026-06-08
VT,1,Vermont Secretary of State Elections Division,2024 General Election Voter Turnout,https://outside.vermont.gov/dept/sos/Elections_Division/election_info_resources/elections_results_data/2024_general_election_voter_turnout.pdf,county,true,true,false,true,absentee votes cast,final,pdf,loaded: vermontVoterTurnoutPdf,loaded,high,"App imports the official county summary table with registered voters, total votes cast including absentee, turnout, and absentee counts; town/district rows are available in the PDF but not imported yet.",2026-06-08
WA,1,Washington Secretary of State,Reconciliation Report and 2024 Report of Elections in Washington State,https://www.sos.wa.gov/sites/default/files/2025-12/Reconciliation%20All%20Years_1.xlsx,county,true,true,false,true,received by drop box; received by mail; regular mail ballots counted; pollsite counted; UOCAVA; provisional,final,xlsx plus annual-report pdf cross-check,loaded: washingtonReconciliationXlsx,loaded,high,"App imports 39 county rows from the official reconciliation workbook using Active Voters as the denominator; the annual report's county turnout percentages reconcile to Ballots Counted divided by Active Voters, so rows carry an active-denominator warning.",2026-06-08
WI,1,Wisconsin Elections Commission plus county/municipal clerks,"Imported local turnout denominator CSVs for Milwaukee, Dane, Jefferson, and Oneida",Multiple local official sources; see app Source Inventory and county coverage table.,ward/reporting-unit/county mixed,true,true,false,false,,preElectionDay,csv/html/xlsx,partial loaded: import-turnout.py CSV path,partial_loaded,high,Statewide WEC ward results lack denominator fields; more county/municipal canvass reports are needed for full turnout coverage.,2026-06-08
WV,1,West Virginia Secretary of State,2024 General Election ENR statewide ballots cast plus November 30 voter registration total,https://results.enr.clarityelections.com/WV/122766/web.345435/#/summary,statewide,true,true,false,false,,postElectionDay,csv join,loaded: statewideTurnoutCsv,loaded_statewide_only,medium,App imports one statewide warning row by joining statewide ENR ballots cast to the official post-election voter registration total; county-level turnout denominators remain a follow-up.,2026-06-08
WY,1,Wyoming Secretary of State,Wyoming Voter Registration and Voter Turnout Statistics,https://sos.wyo.gov/Elections/Docs/VoterProfile.pdf,statewide,true,true,false,false,,preElectionDay,pdf normalized to csv,loaded: statewideTurnoutCsv,loaded_statewide_only,medium,"App imports one statewide warning row. The denominator is the close-of-business day-before-election registration count and excludes Election Day registrations, so turnout can exceed 100% of that denominator.",2026-06-08
